Epoch,Train_L1,Val_L1,PSNR,SSIM,LPIPS,FID,KID_Mean,KID_Std
1,0.153079,0.101430,22.200104,0.508759,16.732449,184.092194,0.225076,0.020244
2,0.131018,0.098750,22.438063,0.529030,16.153699,198.223236,0.242756,0.024253
3,0.128438,0.110765,21.401104,0.483815,16.155138,165.040726,0.195823,0.019174
4,0.126632,0.100166,22.360653,0.558848,16.204429,167.981415,0.200566,0.021768
5,0.125764,0.099891,22.357147,0.547960,16.643020,161.565109,0.191237,0.020167
6,0.124838,0.101660,22.145041,0.542218,16.238421,144.651337,0.165244,0.017890
7,0.124626,0.107700,21.546528,0.501747,15.688714,114.196747,0.122622,0.016092
8,0.124279,0.101432,22.183786,0.551134,15.598837,91.295822,0.087693,0.012900
9,0.124355,0.100456,22.330294,0.565091,15.541384,74.627548,0.063166,0.010600
10,0.123910,0.106668,21.626541,0.513686,16.197359,76.492477,0.067416,0.013036
11,0.123588,0.100405,22.249758,0.542923,15.491017,56.501003,0.040283,0.010653
12,0.123353,0.097550,22.541670,0.554367,15.683026,57.612389,0.037711,0.006577
13,0.123177,0.099094,22.389597,0.554133,15.890036,50.109329,0.026536,0.005764
14,0.122959,0.108772,21.420866,0.500573,16.114149,54.234291,0.034009,0.008622
15,0.122453,0.103470,21.991486,0.539850,15.661679,51.631416,0.029860,0.006388
16,0.122282,0.107314,21.554760,0.506811,15.667391,51.952187,0.030338,0.006551
17,0.122095,0.104744,21.783226,0.528899,15.581294,51.757359,0.027879,0.006470
18,0.121775,0.103517,21.909485,0.526999,15.880461,51.937145,0.030519,0.006293
19,0.121846,0.104094,21.958252,0.541072,15.843065,56.813511,0.038359,0.007104
20,0.121643,0.107482,21.632433,0.519244,15.522315,53.395691,0.032297,0.006486
21,0.121577,0.106089,21.752344,0.522292,15.649496,49.178986,0.027654,0.005811
22,0.121591,0.110524,21.175587,0.507856,15.432993,54.658913,0.032673,0.006422
23,0.121438,0.103497,22.022356,0.551525,15.349704,64.264015,0.045841,0.008151
24,0.121555,0.105923,21.721748,0.522236,15.400121,51.253529,0.030547,0.005413
25,0.121197,0.108141,21.361256,0.518928,15.181774,59.958183,0.040107,0.007849
26,0.120886,0.107082,21.624645,0.503574,15.081023,56.716030,0.035387,0.008308
27,0.121081,0.114542,20.951296,0.478074,15.648713,59.723114,0.040167,0.007120
28,0.120962,0.100035,22.258799,0.544894,14.742328,61.847355,0.040905,0.007239
29,0.121153,0.108184,21.531311,0.510845,14.845132,61.121063,0.041505,0.008359
30,0.120763,0.100101,22.277153,0.551919,14.482411,63.683929,0.046674,0.007760
31,0.120619,0.112712,21.095953,0.483838,15.526679,56.270546,0.036536,0.007199
32,0.120656,0.102068,22.103037,0.544506,14.851060,63.828373,0.046957,0.006918
33,0.120253,0.106661,21.697386,0.518359,15.139537,61.446930,0.040338,0.008384
34,0.120204,0.109795,21.383902,0.501435,15.335686,59.512363,0.037938,0.007061
35,0.120783,0.107028,21.605677,0.511617,15.019204,64.138245,0.045228,0.007359
36,0.120323,0.107495,21.572149,0.512541,15.246178,66.662003,0.049370,0.008535
37,0.120317,0.110840,21.333689,0.505887,15.358867,61.107830,0.041140,0.007588
38,0.120331,0.106137,21.688206,0.513885,15.136059,58.724033,0.043401,0.010217
39,0.120077,0.107668,21.579166,0.512610,15.755960,62.409439,0.042973,0.007876
40,0.120529,0.106350,21.666538,0.513466,15.466870,56.777657,0.037658,0.007694
41,0.119934,0.110281,21.459909,0.519971,15.612939,62.852982,0.044521,0.007947
42,0.120222,0.105003,21.834127,0.533662,15.249760,59.950451,0.042225,0.007050
43,0.120093,0.111078,21.227753,0.482114,15.096151,58.996098,0.038633,0.007985
44,0.120085,0.105013,21.844307,0.526166,14.712222,56.310154,0.037788,0.007348
45,0.119901,0.108312,21.613493,0.513197,14.853598,64.578957,0.046586,0.011166
46,0.120373,0.109306,21.445513,0.503149,14.847711,56.766010,0.034379,0.006703
47,0.120177,0.108907,21.524668,0.519099,14.988361,59.344292,0.039192,0.006902
48,0.120015,0.108195,21.530005,0.509078,14.867245,61.331863,0.044678,0.008181
49,0.119875,0.104800,21.878954,0.533277,15.104823,57.240017,0.036999,0.006564
50,0.120066,0.110663,21.290195,0.481314,15.228664,49.119598,0.026316,0.005247
test,,0.109929,20.398582,0.574771,15.406351,36.340050,0.026693,0.008387
