cost,spearman_r,spearman_p,pearson_r,pearson_p,kruskal_stat,kruskal_p,n
resnet18/centroid,0.2497,0.4338,0.3563,0.2556,3.3205,0.3448,12
resnet18/mean,0.3836,0.2184,0.5717,0.0521,8.6987,0.0336,12
resnet18/gaussian_mmd,-0.1267,0.6949,-0.0881,0.7854,0.6282,0.8899,12
resnet18/sinkhorn_resnet18_cosine,0.029,0.9288,-0.1942,0.5454,1.9295,0.5872,12
resnet18/sinkhorn_resnet18_sqeuclidean,0.4958,0.1012,0.6323,0.0274,7.8333,0.0496,12
resnet50/centroid,0.1013,0.754,0.1055,0.7442,1.109,0.7749,12
resnet50/mean,-0.2497,0.4338,-0.2282,0.4756,1.5577,0.669,12
resnet50/gaussian_mmd,0.275,0.387,0.3152,0.3183,1.6218,0.6545,12
resnet50/sinkhorn_resnet50_cosine,0.0326,0.92,0.105,0.7453,0.3462,0.9511,12
resnet50/sinkhorn_resnet50_sqeuclidean,-0.047,0.8846,0.0205,0.9495,1.141,0.7672,12
dinov2/centroid,0.6297,0.0282,0.6555,0.0207,6.4936,0.0899,12
dinov2/mean,0.0507,0.8757,0.0542,0.867,2.6987,0.4404,12
dinov2/gaussian_mmd,0.4162,0.1784,0.5781,0.049,2.4295,0.4882,12
dinov2/sinkhorn_dinov2_cosine,0.7418,0.0057,0.7471,0.0052,6.6026,0.0857,12
dinov2/sinkhorn_dinov2_sqeuclidean,0.7418,0.0057,0.739,0.006,6.6026,0.0857,12
vgg16/centroid,0.2606,0.4134,0.2538,0.426,4.7436,0.1916,12
vgg16/mean,-0.0688,0.8319,0.053,0.8701,4.7564,0.1905,12
vgg16/gaussian_mmd,-0.0724,0.8231,0.2421,0.4484,1.4872,0.6852,12
vgg16/sinkhorn_vgg16_cosine,-0.0615,0.8494,0.1467,0.6491,2.3782,0.4977,12
vgg16/sinkhorn_vgg16_sqeuclidean,0.1737,0.5893,0.2498,0.4337,5.5897,0.1334,12
