cost,metric,pearson_r,pearson_p,spearman_r,spearman_p,n
resnet18/centroid,PSNR,0.1433,0.6568,0.2448,0.4433,12
resnet18/centroid,SSIM,0.2469,0.4391,0.2867,0.3663,12
resnet18/centroid,LPIPS,-0.1967,0.54,-0.2378,0.4568,12
resnet18/centroid,FID,-0.1301,0.687,0.0979,0.7621,12
resnet18/centroid,KID_Mean,-0.1695,0.5984,0.0979,0.7621,12
resnet18/mean,PSNR,-0.0983,0.7612,-0.2028,0.5273,12
resnet18/mean,SSIM,-0.2591,0.4161,-0.2028,0.5273,12
resnet18/mean,LPIPS,0.0635,0.8445,-0.021,0.9484,12
resnet18/mean,FID,0.1474,0.6476,-0.2308,0.4705,12
resnet18/mean,KID_Mean,0.1859,0.5629,-0.2308,0.4705,12
resnet18/gaussian_mmd,PSNR,0.1491,0.6438,0.4126,0.1826,12
resnet18/gaussian_mmd,SSIM,0.2819,0.3748,0.4056,0.1908,12
resnet18/gaussian_mmd,LPIPS,-0.1705,0.5963,-0.1678,0.6021,12
resnet18/gaussian_mmd,FID,-0.1271,0.6938,0.3077,0.3306,12
resnet18/gaussian_mmd,KID_Mean,-0.1682,0.6013,0.3077,0.3306,12
resnet18/sinkhorn_resnet18_cosine,PSNR,0.1901,0.554,0.2448,0.4433,12
resnet18/sinkhorn_resnet18_cosine,SSIM,0.2385,0.4554,0.3706,0.2356,12
resnet18/sinkhorn_resnet18_cosine,LPIPS,-0.2734,0.39,-0.3986,0.1993,12
resnet18/sinkhorn_resnet18_cosine,FID,-0.0564,0.8619,-0.2168,0.4986,12
resnet18/sinkhorn_resnet18_cosine,KID_Mean,-0.0859,0.7908,-0.2168,0.4986,12
resnet18/sinkhorn_resnet18_sqeuclidean,PSNR,-0.067,0.8362,-0.035,0.9141,12
resnet18/sinkhorn_resnet18_sqeuclidean,SSIM,-0.209,0.5144,-0.0629,0.8459,12
resnet18/sinkhorn_resnet18_sqeuclidean,LPIPS,0.018,0.9558,-0.049,0.8799,12
resnet18/sinkhorn_resnet18_sqeuclidean,FID,0.1533,0.6343,0.042,0.897,12
resnet18/sinkhorn_resnet18_sqeuclidean,KID_Mean,0.1863,0.5622,0.042,0.897,12
resnet50/centroid,PSNR,0.2067,0.5193,0.1329,0.6806,12
resnet50/centroid,SSIM,0.3432,0.2747,0.2448,0.4433,12
resnet50/centroid,LPIPS,-0.2725,0.3915,-0.3427,0.2756,12
resnet50/centroid,FID,-0.2412,0.4502,-0.2448,0.4433,12
resnet50/centroid,KID_Mean,-0.2778,0.382,-0.2448,0.4433,12
resnet50/mean,PSNR,0.2643,0.4064,0.3706,0.2356,12
resnet50/mean,SSIM,0.3911,0.2087,0.4126,0.1826,12
resnet50/mean,LPIPS,-0.3739,0.2311,-0.6853,0.0139,12
resnet50/mean,FID,-0.3557,0.2564,-0.5035,0.0952,12
resnet50/mean,KID_Mean,-0.3843,0.2174,-0.5035,0.0952,12
resnet50/gaussian_mmd,PSNR,0.2118,0.5088,0.2867,0.3663,12
resnet50/gaussian_mmd,SSIM,0.3301,0.2947,0.3986,0.1993,12
resnet50/gaussian_mmd,LPIPS,-0.2522,0.429,-0.3287,0.2969,12
resnet50/gaussian_mmd,FID,-0.175,0.5865,-0.0699,0.829,12
resnet50/gaussian_mmd,KID_Mean,-0.2105,0.5114,-0.0699,0.829,12
resnet50/sinkhorn_resnet50_cosine,PSNR,0.1306,0.6857,0.0839,0.7954,12
resnet50/sinkhorn_resnet50_cosine,SSIM,0.3041,0.3366,0.2657,0.4038,12
resnet50/sinkhorn_resnet50_cosine,LPIPS,-0.2124,0.5075,-0.3776,0.2262,12
resnet50/sinkhorn_resnet50_cosine,FID,-0.2551,0.4236,-0.2727,0.3911,12
resnet50/sinkhorn_resnet50_cosine,KID_Mean,-0.2909,0.359,-0.2727,0.3911,12
resnet50/sinkhorn_resnet50_sqeuclidean,PSNR,0.2488,0.4355,0.2727,0.3911,12
resnet50/sinkhorn_resnet50_sqeuclidean,SSIM,0.3767,0.2275,0.3007,0.3423,12
resnet50/sinkhorn_resnet50_sqeuclidean,LPIPS,-0.3422,0.2762,-0.5804,0.0479,12
resnet50/sinkhorn_resnet50_sqeuclidean,FID,-0.3127,0.3223,-0.4406,0.1517,12
resnet50/sinkhorn_resnet50_sqeuclidean,KID_Mean,-0.342,0.2766,-0.4406,0.1517,12
dinov2/centroid,PSNR,0.089,0.7832,0.2727,0.3911,12
dinov2/centroid,SSIM,-0.1039,0.748,0.0559,0.8629,12
dinov2/centroid,LPIPS,-0.0544,0.8666,-0.0979,0.7621,12
dinov2/centroid,FID,0.2997,0.3439,0.4965,0.1006,12
dinov2/centroid,KID_Mean,0.2959,0.3504,0.4965,0.1006,12
dinov2/mean,PSNR,-0.1288,0.6899,-0.1469,0.6488,12
dinov2/mean,SSIM,-0.387,0.2139,-0.3287,0.2969,12
dinov2/mean,LPIPS,0.1365,0.6724,0.1469,0.6488,12
dinov2/mean,FID,0.2795,0.3789,0.2448,0.4433,12
dinov2/mean,KID_Mean,0.3104,0.3261,0.2448,0.4433,12
dinov2/gaussian_mmd,PSNR,0.2167,0.4987,0.5105,0.0899,12
dinov2/gaussian_mmd,SSIM,0.3508,0.2635,0.5455,0.0666,12
dinov2/gaussian_mmd,LPIPS,-0.2041,0.5246,-0.2587,0.4168,12
dinov2/gaussian_mmd,FID,-0.0925,0.775,0.2308,0.4705,12
dinov2/gaussian_mmd,KID_Mean,-0.1278,0.6922,0.2308,0.4705,12
dinov2/sinkhorn_dinov2_cosine,PSNR,-0.1337,0.6787,-0.1399,0.6646,12
dinov2/sinkhorn_dinov2_cosine,SSIM,-0.3738,0.2314,-0.3007,0.3423,12
dinov2/sinkhorn_dinov2_cosine,LPIPS,0.2072,0.5183,0.4126,0.1826,12
dinov2/sinkhorn_dinov2_cosine,FID,0.3793,0.224,0.4615,0.1309,12
