Epoch,Train_L1,Val_L1,PSNR,SSIM,LPIPS,FID,KID_Mean,KID_Std
1,0.158456,0.123290,18.262444,0.550207,18.147632,143.978806,0.147590,0.020635
2,0.132980,0.124058,18.342966,0.541426,18.535198,174.676773,0.185853,0.019931
3,0.129988,0.117654,18.469770,0.551485,17.475607,110.208344,0.105588,0.017692
4,0.127960,0.118240,18.505648,0.558235,18.068502,116.501060,0.117282,0.019001
5,0.125979,0.118408,18.320436,0.564447,18.356532,109.623749,0.107085,0.017549
6,0.124719,0.125978,18.106390,0.561030,18.783047,98.968681,0.088371,0.015332
7,0.123859,0.121053,18.285988,0.560657,18.478591,70.320938,0.052880,0.012040
8,0.123094,0.117980,18.254553,0.564975,18.057426,70.734169,0.054535,0.015193
9,0.122408,0.118724,18.431612,0.551396,17.446784,65.893738,0.051648,0.013962
10,0.121750,0.119080,18.225222,0.564094,18.027526,57.473194,0.035161,0.010663
11,0.121609,0.119909,18.163124,0.558423,17.939838,60.133526,0.042850,0.011923
12,0.121524,0.117745,18.272499,0.565289,18.013612,60.875969,0.041121,0.011932
13,0.121149,0.118761,18.255173,0.561027,17.697972,58.632713,0.040902,0.010321
14,0.120626,0.121602,18.184839,0.542644,17.558091,53.936806,0.032887,0.011696
15,0.120917,0.121109,18.222795,0.558017,17.737512,54.355820,0.032614,0.010983
16,0.120395,0.121222,18.086174,0.549651,17.891139,52.261543,0.029346,0.008175
17,0.120442,0.120157,18.175318,0.558700,17.856575,57.386261,0.038348,0.010085
18,0.120346,0.120252,18.210377,0.556577,17.750466,53.803398,0.030969,0.006526
19,0.119831,0.123319,18.082174,0.549401,17.937900,52.021843,0.028379,0.007733
20,0.119890,0.121467,18.110647,0.558811,17.963176,56.322803,0.034964,0.008652
21,0.119680,0.121273,18.110285,0.552112,17.521818,53.311543,0.029087,0.006712
22,0.119566,0.122384,18.025944,0.553876,17.586976,54.638344,0.031090,0.006825
23,0.119310,0.121030,18.210451,0.553205,17.838216,58.287983,0.039357,0.011119
24,0.119237,0.122776,18.118303,0.548440,18.192021,54.567184,0.035372,0.011626
25,0.118997,0.122028,18.123482,0.553184,18.180201,63.111515,0.044297,0.014258
26,0.118916,0.120868,18.144022,0.554225,17.717179,61.846821,0.042862,0.008999
27,0.119017,0.123416,18.105101,0.547273,17.816674,57.116901,0.037906,0.013459
28,0.118756,0.121510,18.108011,0.552720,17.490562,61.239681,0.039190,0.009199
29,0.118727,0.120871,18.139002,0.558553,17.321883,62.350548,0.044477,0.008472
30,0.118496,0.122697,18.057373,0.553350,17.425814,61.365486,0.041470,0.009815
31,0.118344,0.121040,18.171721,0.555243,17.240413,63.905106,0.043606,0.010439
32,0.118625,0.122477,18.070675,0.545651,17.729212,61.246773,0.043734,0.012359
33,0.117874,0.122346,18.113098,0.547226,17.127887,61.362396,0.041740,0.010752
34,0.118108,0.123856,18.016092,0.542350,17.491724,56.452660,0.037412,0.010581
35,0.117799,0.121526,18.146917,0.555228,17.575590,65.281769,0.047412,0.009637
36,0.117726,0.122235,18.083036,0.546122,17.074503,61.631371,0.041562,0.011153
37,0.117798,0.123595,18.009590,0.546028,17.613966,63.829212,0.043985,0.011348
38,0.117559,0.122254,18.097729,0.548516,17.446989,63.498276,0.043972,0.008521
39,0.117549,0.126384,17.938782,0.540358,17.924901,60.329147,0.040447,0.010277
40,0.117488,0.120809,18.269688,0.548708,17.190130,63.415089,0.047553,0.010418
41,0.117945,0.123212,17.990543,0.547381,17.428948,63.402042,0.043970,0.011856
42,0.117338,0.124781,18.056522,0.543456,17.189491,65.734985,0.043527,0.009649
43,0.117635,0.125463,18.072468,0.537875,17.455706,72.550133,0.063992,0.017861
44,0.117273,0.125280,17.966764,0.538026,17.640203,69.293961,0.051615,0.011817
45,0.117408,0.122087,18.127422,0.547062,17.107392,64.594536,0.047145,0.011473
46,0.117071,0.123980,18.015518,0.546223,17.543637,67.653801,0.049312,0.013202
47,0.117267,0.124231,18.092907,0.545824,17.303623,63.052376,0.048723,0.010685
48,0.117474,0.125182,18.175606,0.540367,17.593524,59.881527,0.043162,0.011557
49,0.117364,0.124664,18.044426,0.544689,17.057687,68.627411,0.049093,0.009945
50,0.117230,0.126518,18.036737,0.532841,17.612735,65.578079,0.047565,0.013096
test,,0.109242,20.759794,0.568560,15.305731,114.515327,0.125240,0.021869
