Epoch,Train_L1,Val_L1,PSNR,SSIM,LPIPS,FID,KID_Mean,KID_Std
1,0.448159,0.539035,9.712822,0.158157,44.444135,386.770630,0.480089,0.016788
2,0.422626,0.537455,9.752117,0.185312,45.036251,488.508606,0.675100,0.024003
3,0.412683,0.526744,10.026073,0.204254,49.646707,511.055725,0.698256,0.028839
4,0.412210,0.543483,9.727618,0.187090,43.651690,463.306732,0.623161,0.020163
5,0.409783,0.523269,10.164159,0.141562,47.274556,561.934326,0.819013,0.026345
6,0.405417,0.530547,9.931430,0.178688,46.288305,426.865234,0.554213,0.016498
7,0.405124,0.507594,10.435919,0.153786,43.806867,398.110077,0.487454,0.017780
8,0.402728,0.539493,9.812806,0.157412,47.884991,462.298401,0.622399,0.019630
9,0.400733,0.521773,10.005123,0.166073,45.566938,499.162292,0.701656,0.019045
10,0.399399,0.540531,9.745699,0.154662,43.988355,373.265930,0.449143,0.017556
11,0.396589,0.525764,10.043121,0.159632,41.333100,418.914948,0.552836,0.017570
12,0.394134,0.528136,9.944695,0.171675,40.408516,367.878906,0.450782,0.017417
13,0.389746,0.528775,9.923235,0.184446,39.421256,315.827972,0.367734,0.013581
14,0.387204,0.510199,10.311650,0.170706,40.068273,343.832733,0.420953,0.018610
15,0.385305,0.543830,9.695327,0.199371,46.714860,345.861786,0.417029,0.015275
16,0.380622,0.537254,9.789215,0.187189,40.692664,370.551392,0.452253,0.016276
17,0.376579,0.529921,9.957525,0.213472,41.318548,348.271576,0.435230,0.020689
18,0.373456,0.523420,10.082554,0.206173,44.661574,347.233582,0.414308,0.012890
19,0.368889,0.537957,9.807676,0.194504,41.036548,326.107819,0.383134,0.016845
20,0.364173,0.540924,9.668406,0.187217,39.452959,359.283386,0.445680,0.014680
21,0.361710,0.546543,9.587050,0.139079,39.027698,377.694244,0.463677,0.016064
22,0.357540,0.528217,9.915224,0.134229,41.097371,365.682495,0.457155,0.017180
23,0.352613,0.527357,9.911941,0.224061,40.511680,321.418976,0.379372,0.017033
24,0.347526,0.534575,9.852606,0.168204,37.169116,295.856750,0.329291,0.015089
25,0.343949,0.530626,9.895508,0.219270,43.913884,333.243774,0.385619,0.014518
26,0.342181,0.523535,10.036691,0.194331,35.811769,304.554291,0.350612,0.014801
27,0.338904,0.533695,9.769901,0.188838,40.249020,302.355774,0.334216,0.014339
28,0.335570,0.533975,9.806835,0.196631,37.135648,299.214111,0.333609,0.013932
29,0.332596,0.546638,9.545256,0.107230,50.946621,427.789856,0.547492,0.018947
30,0.330615,0.540062,9.638627,0.203340,42.750783,492.704803,0.706165,0.028005
31,0.326748,0.528537,9.928730,0.181208,38.712486,411.225586,0.553333,0.017928
32,0.325940,0.525953,9.958054,0.230173,41.022033,305.676208,0.323232,0.013587
33,0.321617,0.538551,9.677165,0.188056,36.715604,319.873230,0.370737,0.018230
34,0.320617,0.539062,9.738088,0.172281,42.116433,484.246979,0.674938,0.021057
35,0.317941,0.552269,9.562083,0.158071,36.253145,333.926453,0.399801,0.018064
36,0.314593,0.539616,9.793467,0.195552,38.635748,311.210175,0.360562,0.014610
37,0.315063,0.527219,9.852396,0.217368,38.847377,278.152985,0.290340,0.013873
38,0.313919,0.520386,9.994471,0.191105,37.890055,351.530884,0.443470,0.020658
39,0.311254,0.515999,10.133265,0.210402,37.581545,291.163910,0.318855,0.015466
40,0.312206,0.529634,9.887203,0.194683,36.352161,274.904449,0.284800,0.014295
41,0.310102,0.529911,9.861598,0.195439,39.363393,335.442657,0.387752,0.015819
42,0.307433,0.519850,10.059142,0.197461,41.315228,398.074371,0.502451,0.019160
43,0.307624,0.531701,9.861344,0.193480,42.329136,379.178864,0.461456,0.018209
44,0.307272,0.527236,9.897370,0.219628,41.995617,359.181854,0.441307,0.017735
45,0.306374,0.530337,9.860455,0.153098,40.769877,427.598358,0.562970,0.023093
46,0.304556,0.515448,10.186694,0.215395,37.736782,341.127411,0.410517,0.017373
47,0.304825,0.520762,10.086316,0.217611,38.112451,377.243500,0.477834,0.023257
48,0.302171,0.534306,9.876978,0.196217,38.534026,319.043243,0.359744,0.015421
49,0.301968,0.527891,9.938064,0.201782,37.268307,266.674103,0.275914,0.012636
50,0.299889,0.517422,10.131164,0.227156,41.338969,379.227234,0.464017,0.020308
test,,0.481983,10.823128,0.159809,45.594621,342.730743,0.348175,0.015820
