cost,metric,pearson_r,pearson_p,spearman_r,spearman_p,n
resnet18/centroid,PSNR,-0.7291,0.0071,-0.5455,0.0666,12
resnet18/centroid,SSIM,-0.3228,0.3061,-0.2587,0.4168,12
resnet18/centroid,LPIPS,0.1269,0.6944,0.2448,0.4433,12
resnet18/centroid,FID,0.0933,0.7731,0.2517,0.4299,12
resnet18/centroid,KID_Mean,0.0729,0.822,0.3287,0.2969,12
resnet18/mean,PSNR,-0.599,0.0396,-0.3427,0.2756,12
resnet18/mean,SSIM,-0.1571,0.6258,0.0769,0.8122,12
resnet18/mean,LPIPS,0.2743,0.3883,0.2797,0.3786,12
resnet18/mean,FID,-0.0029,0.993,0.007,0.9828,12
resnet18/mean,KID_Mean,-0.0652,0.8404,-0.007,0.9828,12
resnet18/gaussian_mmd,PSNR,-0.4255,0.1679,-0.3357,0.2861,12
resnet18/gaussian_mmd,SSIM,-0.3027,0.3389,-0.4685,0.1245,12
resnet18/gaussian_mmd,LPIPS,-0.0556,0.8637,0.007,0.9828,12
resnet18/gaussian_mmd,FID,0.1699,0.5976,0.0629,0.8459,12
resnet18/gaussian_mmd,KID_Mean,0.2086,0.5152,0.1678,0.6021,12
resnet18/sinkhorn_resnet18_cosine,PSNR,-0.6745,0.0161,-0.4825,0.1121,12
resnet18/sinkhorn_resnet18_cosine,SSIM,-0.4376,0.1548,-0.4056,0.1908,12
resnet18/sinkhorn_resnet18_cosine,LPIPS,-0.0163,0.9599,-0.0839,0.7954,12
resnet18/sinkhorn_resnet18_cosine,FID,0.069,0.8312,0.0839,0.7954,12
resnet18/sinkhorn_resnet18_cosine,KID_Mean,0.0372,0.9085,0.0979,0.7621,12
resnet18/sinkhorn_resnet18_sqeuclidean,PSNR,-0.6761,0.0158,-0.4615,0.1309,12
resnet18/sinkhorn_resnet18_sqeuclidean,SSIM,-0.213,0.5062,-0.014,0.9656,12
resnet18/sinkhorn_resnet18_sqeuclidean,LPIPS,0.2489,0.4353,0.3846,0.217,12
resnet18/sinkhorn_resnet18_sqeuclidean,FID,0.0805,0.8037,0.2238,0.4845,12
resnet18/sinkhorn_resnet18_sqeuclidean,KID_Mean,0.0364,0.9105,0.2308,0.4705,12
resnet50/centroid,PSNR,-0.4235,0.1701,-0.2657,0.4038,12
resnet50/centroid,SSIM,-0.3654,0.2427,-0.3846,0.217,12
resnet50/centroid,LPIPS,-0.1424,0.6588,-0.1748,0.5868,12
resnet50/centroid,FID,0.0904,0.78,-0.1538,0.6331,12
resnet50/centroid,KID_Mean,0.1145,0.7231,-0.0699,0.829,12
resnet50/mean,PSNR,-0.431,0.1619,-0.1469,0.6488,12
resnet50/mean,SSIM,-0.4349,0.1577,-0.4615,0.1309,12
resnet50/mean,LPIPS,0.2741,0.3885,0.2517,0.4299,12
resnet50/mean,FID,0.1809,0.5736,0.035,0.9141,12
resnet50/mean,KID_Mean,0.1772,0.5816,-0.007,0.9828,12
resnet50/gaussian_mmd,PSNR,-0.3054,0.3344,-0.2657,0.4038,12
resnet50/gaussian_mmd,SSIM,-0.2569,0.4202,-0.3636,0.2453,12
resnet50/gaussian_mmd,LPIPS,-0.2451,0.4426,-0.1329,0.6806,12
resnet50/gaussian_mmd,FID,0.0517,0.8733,0.0,1.0,12
resnet50/gaussian_mmd,KID_Mean,0.0785,0.8084,0.0979,0.7621,12
resnet50/sinkhorn_resnet50_cosine,PSNR,-0.8355,0.0007,-0.7133,0.0092,12
resnet50/sinkhorn_resnet50_cosine,SSIM,-0.4323,0.1605,-0.4126,0.1826,12
resnet50/sinkhorn_resnet50_cosine,LPIPS,0.2222,0.4876,0.0979,0.7621,12
resnet50/sinkhorn_resnet50_cosine,FID,0.1614,0.6162,0.1678,0.6021,12
resnet50/sinkhorn_resnet50_cosine,KID_Mean,0.1159,0.7198,0.1329,0.6806,12
resnet50/sinkhorn_resnet50_sqeuclidean,PSNR,-0.523,0.081,-0.1888,0.5567,12
resnet50/sinkhorn_resnet50_sqeuclidean,SSIM,-0.4864,0.1088,-0.4825,0.1121,12
resnet50/sinkhorn_resnet50_sqeuclidean,LPIPS,0.2144,0.5034,0.1189,0.7129,12
resnet50/sinkhorn_resnet50_sqeuclidean,FID,0.1768,0.5825,-0.0629,0.8459,12
resnet50/sinkhorn_resnet50_sqeuclidean,KID_Mean,0.1841,0.5667,-0.0699,0.829,12
dinov2/centroid,PSNR,-0.4266,0.1667,-0.3986,0.1993,12
dinov2/centroid,SSIM,-0.4221,0.1717,-0.3776,0.2262,12
