Epoch,Train_L1,Val_L1,PSNR,SSIM,LPIPS,FID,KID_Mean,KID_Std
1,0.446933,0.493441,10.496988,0.178851,44.156000,389.155060,0.436233,0.031542
2,0.423790,0.494154,10.496684,0.188298,45.377202,397.388672,0.470302,0.033086
3,0.416149,0.515189,10.160942,0.198590,43.969609,332.881927,0.334042,0.020071
4,0.411858,0.514025,10.107270,0.194904,43.725027,368.875153,0.389323,0.024723
5,0.408117,0.512042,10.081545,0.196097,43.444143,370.962006,0.395102,0.027844
6,0.408977,0.526694,9.869877,0.185529,43.357104,337.010162,0.328097,0.021701
7,0.406349,0.529514,9.870084,0.179485,43.121541,344.546631,0.343216,0.021439
8,0.404209,0.494385,10.455268,0.170933,43.239762,365.277405,0.395971,0.023596
9,0.402025,0.540838,9.708556,0.175554,44.400282,286.704926,0.256546,0.016935
10,0.403146,0.533114,9.781281,0.160139,43.722700,473.152588,0.595714,0.042108
11,0.400606,0.504192,10.279161,0.176144,43.620230,359.241180,0.385866,0.025541
12,0.398438,0.513121,10.124370,0.145794,44.786573,454.856445,0.544829,0.036747
13,0.397355,0.511254,10.145719,0.175947,39.750168,280.203888,0.251630,0.019268
14,0.395579,0.540411,9.672301,0.154700,45.246516,348.927887,0.349971,0.023828
15,0.392633,0.512197,10.186493,0.184164,42.280009,322.897552,0.332423,0.020660
16,0.389406,0.544624,9.672069,0.181475,44.011564,281.199341,0.260287,0.017370
17,0.385723,0.562520,9.430261,0.175521,43.378764,256.906616,0.235948,0.015073
18,0.383636,0.485756,10.476136,0.182140,42.586748,263.767334,0.217969,0.015341
19,0.380933,0.486428,10.439021,0.172149,43.401411,338.305695,0.357349,0.025760
20,0.377515,0.565788,9.391238,0.171949,45.818846,296.489563,0.293775,0.020087
21,0.373780,0.505316,10.227183,0.130807,42.345089,399.358032,0.464437,0.028958
22,0.371673,0.517274,9.952671,0.172141,46.010762,275.640778,0.253282,0.019492
23,0.366317,0.556979,9.477034,0.183729,40.920661,223.410690,0.181747,0.012171
24,0.362061,0.549780,9.595238,0.191511,42.858643,215.216599,0.164140,0.013413
25,0.358639,0.544535,9.642123,0.170481,44.013874,386.111816,0.452761,0.029239
26,0.354896,0.555473,9.451950,0.193123,42.113454,221.533936,0.182191,0.013539
27,0.349715,0.524584,9.936548,0.189356,41.125047,303.977905,0.290602,0.019277
28,0.348167,0.509747,10.061451,0.176778,44.051441,257.765442,0.230132,0.014882
29,0.346081,0.480123,10.501929,0.193124,45.437340,250.224564,0.217179,0.015163
30,0.342757,0.549963,9.549765,0.187143,42.084110,250.497879,0.212016,0.015395
31,0.341412,0.516548,9.979270,0.123882,45.877643,346.196503,0.359925,0.021276
32,0.336379,0.527499,9.849129,0.200915,42.722713,232.946564,0.192757,0.014759
33,0.332078,0.583599,9.120245,0.170807,40.573967,317.613251,0.331634,0.021930
34,0.330973,0.586859,9.051509,0.181654,39.342807,250.911652,0.213701,0.016949
35,0.328666,0.591783,8.973042,0.165523,42.979709,319.296936,0.330265,0.023526
36,0.326569,0.569733,9.311551,0.204597,44.274622,264.440308,0.240761,0.019076
37,0.323206,0.573272,9.220964,0.200188,44.744319,225.417938,0.178611,0.013462
38,0.323011,0.494529,10.286619,0.205391,43.253804,242.794220,0.195883,0.016192
39,0.319516,0.553079,9.440913,0.183992,40.650089,227.020981,0.183961,0.013660
40,0.316289,0.515004,10.027839,0.195078,42.804104,263.573517,0.221463,0.015489
41,0.314980,0.549407,9.498748,0.204129,42.915009,226.388153,0.171946,0.013208
42,0.314082,0.485268,10.439001,0.202946,43.257381,247.789474,0.213783,0.016094
43,0.312572,0.540518,9.632250,0.169223,40.793122,246.567459,0.218533,0.016735
44,0.313156,0.533659,9.666734,0.135510,46.614408,376.030090,0.398859,0.027351
45,0.309942,0.571236,9.229218,0.200238,44.452416,223.626694,0.169333,0.014110
46,0.307099,0.578616,9.168888,0.199552,44.104156,215.971497,0.168683,0.013056
47,0.306648,0.494861,10.218174,0.177126,37.737796,224.080841,0.189849,0.011642
48,0.305978,0.551884,9.455694,0.175413,44.799410,266.620514,0.238088,0.017024
49,0.305181,0.540868,9.682182,0.202730,42.418016,236.603226,0.193888,0.014243
50,0.304985,0.531189,9.766297,0.196141,40.824469,235.322220,0.183736,0.014650
test,,0.532787,9.824770,0.189135,48.572605,269.616425,0.254955,0.011745
