,SAR-QXSLAB,OPT-QXSLAB,HE,IHC,CT,T1,T2,SAR-SEN12,OPT-SEN12,ImageNet-1k
SAR-QXSLAB,0.0,38.889587822098,50.65613579424609,48.52377895178276,41.738563738135035,43.61946235513409,44.07701884773661,28.853777257642488,33.34541817069803,36.490316291848984
OPT-QXSLAB,38.889587822098,0.0,54.02736553820151,51.85057456190089,47.94455124160887,47.515629783506625,48.149417675072954,42.78147696158292,31.431403519775543,33.08542756092534
HE,50.65613579424609,54.02736553820151,0.0,16.18445604631062,47.23529726554138,46.0583535363375,46.29074604266949,48.924520047420714,43.26574737630666,46.19740804277515
IHC,48.52377895178276,51.85057456190089,16.18445604631062,0.0,45.647590480630136,44.46294707663307,44.8520438017976,45.37935941623412,40.39760668678953,44.922429077315016
CT,41.738563738135035,47.94455124160887,47.23529726554138,45.647590480630136,0.0,20.444516096588494,22.191837028219712,44.543282612730394,41.63463977920821,39.38706219177732
T1,43.61946235513409,47.515629783506625,46.0583535363375,44.46294707663307,20.444516096588494,0.0,8.585990094568979,48.09441440573401,40.244667261781395,38.32796082893753
T2,44.07701884773661,48.149417675072954,46.29074604266949,44.8520438017976,22.191837028219712,8.585990094568979,0.0,48.60719507901103,41.49496743903342,38.7793592473584
SAR-SEN12,28.853777257642488,42.78147696158292,48.924520047420714,45.37935941623412,44.543282612730394,48.09441440573401,48.60719507901103,0.0,32.05002370374138,38.51920178852063
OPT-SEN12,33.34541817069803,31.431403519775543,43.26574737630666,40.39760668678953,41.63463977920821,40.244667261781395,41.49496743903342,32.05002370374138,0.0,28.778452879010125
ImageNet-1k,36.490316291848984,33.08542756092534,46.19740804277515,44.922429077315016,39.38706219177732,38.32796082893753,38.7793592473584,38.51920178852063,28.778452879010125,0.0
