,SAR-QXSLAB,OPT-QXSLAB,HE,IHC,CT,T1,T2,SAR-SEN12,OPT-SEN12,ImageNet-1k
SAR-QXSLAB,0.0,0.4742169911633373,0.2046899393329257,0.2811545756039867,0.31632613660245873,0.21670786110642337,0.253942054436441,0.6507368169677875,0.44189443392847394,0.20702232233515572
OPT-QXSLAB,0.4742169911633373,0.0,0.3712653203737397,0.3935011356368168,0.3663015993292901,0.35104139472559176,0.3743772244802649,0.5470131015164605,0.8402601940082471,0.41426937493155586
HE,0.2046899393329257,0.3712653203737397,0.0,0.21010650714726078,0.18329980833362802,0.1716136910532189,0.19354743634618538,0.24264926889677987,0.21870442758585457,0.14445567905700435
IHC,0.2811545756039867,0.3935011356368168,0.21010650714726078,0.0,0.23801473441650414,0.22710617234129268,0.2809875666177237,0.24648389811155785,0.3246216207639067,0.19875041506067648
CT,0.31632613660245873,0.3663015993292901,0.18329980833362802,0.23801473441650414,0.0,0.2683056156621698,0.2896847097185639,0.3519172104584799,0.26458249390184513,0.20692543862536156
T1,0.21670786110642337,0.35104139472559176,0.1716136910532189,0.22710617234129268,0.2683056156621698,0.0,0.3669877848936815,0.34797295348282575,0.27678009056951974,0.21674184510176023
T2,0.253942054436441,0.3743772244802649,0.19354743634618538,0.2809875666177237,0.2896847097185639,0.3669877848936815,0.0,0.30428487055867237,0.24531769281893737,0.19042163892581732
SAR-SEN12,0.6507368169677875,0.5470131015164605,0.24264926889677987,0.24648389811155785,0.3519172104584799,0.34797295348282575,0.30428487055867237,0.0,0.571341954751812,0.2722387503419885
OPT-SEN12,0.44189443392847394,0.8402601940082471,0.21870442758585457,0.3246216207639067,0.26458249390184513,0.27678009056951974,0.24531769281893737,0.571341954751812,0.0,0.345280557403351
ImageNet-1k,0.20702232233515572,0.41426937493155586,0.14445567905700435,0.19875041506067648,0.20692543862536156,0.21674184510176023,0.19042163892581732,0.2722387503419885,0.345280557403351,0.0
