,SAR-QXSLAB,OPT-QXSLAB,HE,IHC,CT,T1,T2,SAR-SEN12,OPT-SEN12,ImageNet-1k
SAR-QXSLAB,0.0,0.5862861096786215,0.848056800788307,0.807214431090709,0.6799461187622766,0.7022157715998665,0.7103616856289652,0.4922168607972852,0.49588567257001254,0.4611276177116819
OPT-QXSLAB,0.5862861096786215,0.0,0.8267819155241234,0.7914771339086761,0.7150080323242249,0.7082490047857707,0.7187355901089312,0.6435825889512518,0.44295902392667746,0.4117661302201321
HE,0.848056800788307,0.8267819155241234,0.0,0.41435194360492417,0.8477347773140282,0.8303870740760013,0.833191933636088,0.854759010671133,0.6615441268109389,0.5887227739214055
IHC,0.807214431090709,0.7914771339086761,0.41435194360492417,0.0,0.8071862700967937,0.790071175775672,0.7959151938864639,0.7916513938548644,0.6230758455536346,0.570814971992585
CT,0.6799461187622766,0.7150080323242249,0.8477347773140282,0.8071862700967937,0.0,0.3880814189954221,0.4164828902296626,0.7301579044950551,0.6050737624718863,0.4997853159324964
T1,0.7022157715998665,0.7082490047857707,0.8303870740760013,0.790071175775672,0.3880814189954221,0.0,0.17086926243225245,0.7715519763619751,0.5871690474111303,0.48884427360501287
T2,0.7103616856289652,0.7187355901089312,0.833191933636088,0.7959151938864639,0.4164828902296626,0.17086926243225245,0.0,0.7802995512990394,0.6027036925137965,0.4935729248303201
SAR-SEN12,0.4922168607972852,0.6435825889512518,0.854759010671133,0.7916513938548644,0.7301579044950551,0.7715519763619751,0.7802995512990394,0.0,0.4909546813162372,0.488332691658897
OPT-SEN12,0.49588567257001254,0.44295902392667746,0.6615441268109389,0.6230758455536346,0.6050737624718863,0.5871690474111303,0.6027036925137965,0.4909546813162372,0.0,0.3550529373467797
ImageNet-1k,0.4611276177116819,0.4117661302201321,0.5887227739214055,0.570814971992585,0.4997853159324964,0.48884427360501287,0.4935729248303201,0.488332691658897,0.3550529373467797,0.0
