,SAR-QXSLAB,OPT-QXSLAB,HE,IHC,CT,T1,T2,SAR-SEN12,OPT-SEN12,ImageNet-1k
SAR-QXSLAB,0.0,0.008594707869344145,0.004801273271820877,0.006370803589386359,0.006103561551599129,0.004879374975033203,0.0055415840475232965,0.011679821248171506,0.006656916665874056,0.0027053525386975166
OPT-QXSLAB,0.008594707869344145,0.0,0.010579767163812462,0.010471790211289508,0.008360059851709511,0.008485676858072671,0.008952691440402016,0.009906966526290818,0.01194662338597696,0.00548716939302034
HE,0.004801273271820877,0.010579767163812462,0.0,0.004922425333662281,0.0046839545134253575,0.004799303808388596,0.005525272326413987,0.007296148365564784,0.003605292154864827,0.0019813786463561468
IHC,0.006370803589386359,0.010471790211289508,0.004922425333662281,0.0,0.00658770521553798,0.00621513432176429,0.005996513722504779,0.007206409776042535,0.004849495064088454,0.0026936581286041
CT,0.006103561551599129,0.008360059851709511,0.0046839545134253575,0.00658770521553798,0.0,0.004741823917389803,0.0050679300002794275,0.007908553283184015,0.005776621347021183,0.0026688227353958713
T1,0.004879374975033203,0.008485676858072671,0.004799303808388596,0.00621513432176429,0.004741823917389803,0.0,0.007108514180458432,0.00775481519387636,0.006097504688977663,0.002833006722254639
T2,0.0055415840475232965,0.008952691440402016,0.005525272326413987,0.005996513722504779,0.0050679300002794275,0.007108514180458432,0.0,0.006771449459657447,0.0056696079816021365,0.0024389403679189524
SAR-SEN12,0.011679821248171506,0.009906966526290818,0.007296148365564784,0.007206409776042535,0.007908553283184015,0.00775481519387636,0.006771449459657447,0.0,0.008609967923486854,0.0037915329253630195
OPT-SEN12,0.006656916665874056,0.01194662338597696,0.003605292154864827,0.004849495064088454,0.005776621347021183,0.006097504688977663,0.0056696079816021365,0.008609967923486854,0.0,0.004469458240367222
ImageNet-1k,0.0027053525386975166,0.00548716939302034,0.0019813786463561468,0.0026936581286041,0.0026688227353958713,0.002833006722254639,0.0024389403679189524,0.0037915329253630195,0.004469458240367222,0.0
