,SAR-QXSLAB,OPT-QXSLAB,HE,IHC,CT,T1,T2,SAR-SEN12,OPT-SEN12,ImageNet-1k
SAR-QXSLAB,0.0,60.37338579387778,62.248770805667355,61.26533474433655,58.55183667037215,60.021190545596,60.28212095245095,50.490303999267965,58.83607602302091,67.31731363788914
OPT-QXSLAB,60.37338579387778,0.0,67.28238770974907,66.2404304468649,65.45552185217628,65.25525311385805,65.64897620587594,62.14412977686184,60.112432397203946,67.74853345666565
HE,62.248770805667355,67.28238770974907,0.0,33.18151532525345,58.129451065895225,57.30073180981939,57.38969663999011,60.001476617813836,60.68542302462881,69.26370004968929
IHC,61.26533474433655,66.2404304468649,33.18151532525345,0.0,57.6097553951538,56.80641589863245,57.02790440456926,57.931379349084494,59.424487912084935,69.09123270502876
CT,58.55183667037215,65.45552185217628,58.129451065895225,57.6097553951538,0.0,44.04147147582904,44.768979423969675,59.74715995775061,62.73044903305316,67.75649589533056
T1,60.021190545596,65.25525311385805,57.30073180981939,56.80641589863245,44.04147147582904,0.0,39.918502364933076,62.55321257144209,61.92388911978956,67.25138006814771
T2,60.28212095245095,65.64897620587594,57.38969663999011,57.02790440456926,44.768979423969675,39.918502364933076,0.0,62.88331874709842,62.66526420860237,67.43673857313284
SAR-SEN12,50.490303999267965,62.14412977686184,60.001476617813836,57.931379349084494,59.74715995775061,62.55321257144209,62.88331874709842,0.0,57.10342186670373,67.71019647502042
OPT-SEN12,58.83607602302091,60.112432397203946,60.68542302462881,59.424487912084935,62.73044903305316,61.92388911978956,62.66526420860237,57.10342186670373,0.0,67.38615208250278
ImageNet-1k,67.31731363788914,67.74853345666565,69.26370004968929,69.09123270502876,67.75649589533056,67.25138006814771,67.43673857313284,67.71019647502042,67.38615208250278,0.0
