,SAR-QXSLAB,OPT-QXSLAB,HE,IHC,CT,T1,T2,SAR-SEN12,OPT-SEN12,ImageNet-1k
SAR-QXSLAB,0.0,0.17446086632888222,0.1726762119309656,0.1773276980205152,0.17222751708829095,0.1514379472126108,0.15128547060079525,0.2751673931325222,0.20192331230825883,0.07473603271019785
OPT-QXSLAB,0.17446086632888222,0.0,0.13367715804958186,0.14129570053230195,0.12291825047747532,0.10513587009098974,0.11638324854328305,0.21123005302159162,0.3220947233349676,0.08059928864447162
HE,0.1726762119309656,0.13367715804958186,0.0,0.2951695824331085,0.1811817245068431,0.16053737969816267,0.18938254868779927,0.14868767481558195,0.23801126121109983,0.06672622131151659
IHC,0.1773276980205152,0.14129570053230195,0.2951695824331085,0.0,0.17020016070852148,0.16584062956395154,0.20863471418774235,0.17167018389517588,0.27621848302998303,0.07183921817526322
CT,0.17222751708829095,0.12291825047747532,0.1811817245068431,0.17020016070852148,0.0,0.24533405791201532,0.21429758191931217,0.17341204407673194,0.13603144661271918,0.08659542537006844
T1,0.1514379472126108,0.10513587009098974,0.16053737969816267,0.16584062956395154,0.24533405791201532,0.0,0.21586300304012093,0.17313744077352522,0.1391409637752341,0.08895129168891665
T2,0.15128547060079525,0.11638324854328305,0.18938254868779927,0.20863471418774235,0.21429758191931217,0.21586300304012093,0.0,0.15026586982378073,0.1515927079498324,0.09598904069384137
SAR-SEN12,0.2751673931325222,0.21123005302159162,0.14868767481558195,0.17167018389517588,0.17341204407673194,0.17313744077352522,0.15026586982378073,0.0,0.29183515505893004,0.08464158352289451
OPT-SEN12,0.20192331230825883,0.3220947233349676,0.23801126121109983,0.27621848302998303,0.13603144661271918,0.1391409637752341,0.1515927079498324,0.29183515505893004,0.0,0.08360089810919394
ImageNet-1k,0.07473603271019785,0.08059928864447162,0.06672622131151659,0.07183921817526322,0.08659542537006844,0.08895129168891665,0.09598904069384137,0.08464158352289451,0.08360089810919394,0.0
