,SAR-QXSLAB,OPT-QXSLAB,HE,IHC,CT,T1,T2,SAR-SEN12,OPT-SEN12,ImageNet-1k
SAR-QXSLAB,0.0,0.7187682631249903,0.7985708112309787,0.7688193768777493,0.7148206361238458,0.7626144962454883,0.7685788442146054,0.47431016204203097,0.6635043509018245,0.9214972521244035
OPT-QXSLAB,0.7187682631249903,0.0,0.925281219166576,0.8938062620876301,0.8997830215497414,0.9000366829131733,0.9109431752489353,0.7845320918857058,0.6824647049218646,0.9072590986699103
HE,0.7985708112309787,0.925281219166576,0.0,0.1604573430019525,0.6770126597733978,0.6619178183677858,0.6637643979165375,0.723303970150374,0.7308066667997152,0.9640855838284894
IHC,0.7688193768777493,0.8938062620876301,0.1604573430019525,0.0,0.6666388603777789,0.648537237186035,0.6527150846028827,0.6655870504108995,0.6881105331848845,0.9583322212283611
CT,0.7148206361238458,0.8997830215497414,0.6770126597733978,0.6666388603777789,0.0,0.3169850325947831,0.33114932756656257,0.7431633775397235,0.8107664984487849,0.9282175646584793
T1,0.7626144962454883,0.9000366829131733,0.6619178183677858,0.648537237186035,0.3169850325947831,0.0,0.18699935171043408,0.8309444095664893,0.7919498682669551,0.9215780655816052
T2,0.7685788442146054,0.9109431752489353,0.6637643979165375,0.6527150846028827,0.33114932756656257,0.18699935171043408,0.0,0.8359729928891139,0.8071643109434974,0.9237972746829146
SAR-SEN12,0.47431016204203097,0.7845320918857058,0.723303970150374,0.6655870504108995,0.7431633775397235,0.8309444095664893,0.8359729928891139,0.0,0.5990639281244552,0.9385587065242039
OPT-SEN12,0.6635043509018245,0.6824647049218646,0.7308066667997152,0.6881105331848845,0.8107664984487849,0.7919498682669551,0.8071643109434974,0.5990639281244552,0.0,0.8917138156040543
ImageNet-1k,0.9214972521244035,0.9072590986699103,0.9640855838284894,0.9583322212283611,0.9282175646584793,0.9215780655816052,0.9237972746829146,0.9385587065242039,0.8917138156040543,0.0
