,SAR-QXSLAB,OPT-QXSLAB,HE,IHC,CT,T1,T2,SAR-SEN12,OPT-SEN12,ImageNet-1k
SAR-QXSLAB,0.0,0.00601836820493953,0.0051626459350211425,0.005524703808450321,0.005227125818082481,0.004401699651243451,0.00461935451967651,0.008874680167420677,0.006224414940833011,0.0027182546975312613
OPT-QXSLAB,0.00601836820493953,0.0,0.004211741229828574,0.004393156708954676,0.003423729427751673,0.0031543344179987484,0.003692541104357062,0.0068646130629426575,0.012800026796908096,0.003290944855090205
HE,0.0051626459350211425,0.004211741229828574,0.0,0.002981162300391403,0.004264066618305766,0.0037453277050742573,0.0044077000576542465,0.004186782679857509,0.006346091022964077,0.0021737413861772333
IHC,0.005524703808450321,0.004393156708954676,0.002981162300391403,0.0,0.004014203243837364,0.0037959089085839175,0.005093583746394668,0.004604915813256372,0.007584181712390725,0.0025526266272946877
CT,0.005227125818082481,0.003423729427751673,0.004264066618305766,0.004014203243837364,0.0,0.004094875061990312,0.004472402631919671,0.004649217445592385,0.003686807351130538,0.0025937606322593712
T1,0.004401699651243451,0.0031543344179987484,0.0037453277050742573,0.0037959089085839175,0.004094875061990312,0.0,0.003921111590221118,0.004697954796299532,0.003664652189895115,0.0032957894831425675
T2,0.00461935451967651,0.003692541104357062,0.0044077000576542465,0.005093583746394668,0.004472402631919671,0.003921111590221118,0.0,0.004199628074704377,0.0038590193813317014,0.0030693431236759865
SAR-SEN12,0.008874680167420677,0.0068646130629426575,0.004186782679857509,0.004604915813256372,0.004649217445592385,0.004697954796299532,0.004199628074704377,0.0,0.007738988574111193,0.0026782895495113942
OPT-SEN12,0.006224414940833011,0.012800026796908096,0.006346091022964077,0.007584181712390725,0.003686807351130538,0.003664652189895115,0.0038590193813317014,0.007738988574111193,0.0,0.0036475495041056734
ImageNet-1k,0.0027182546975312613,0.003290944855090205,0.0021737413861772333,0.0025526266272946877,0.0025937606322593712,0.0032957894831425675,0.0030693431236759865,0.0026782895495113942,0.0036475495041056734,0.0
