,SAR-QXSLAB,OPT-QXSLAB,HE,IHC,CT,T1,T2,SAR-SEN12,OPT-SEN12,ImageNet-1k
SAR-QXSLAB,0.0,3168.060619711073,3665.151851256938,3505.966771412499,3157.5582484718707,3334.8482356460054,3377.7073182185063,2054.1561203810516,2898.8182289694896,4110.387176779477
OPT-QXSLAB,3168.060619711073,0.0,4334.989860914734,4162.18921463849,4057.860462814313,4015.4794597035752,4082.7060012118145,3495.789176399052,3023.7934044488175,4115.548377901824
HE,3665.151851256938,4334.989860914734,0.0,723.4853360767579,3179.379056557183,3075.0706904978406,3098.19899895555,3351.098531117954,3382.6792892274334,4550.949413765143
IHC,3505.966771412499,4162.18921463849,723.4853360767579,0.0,3112.156755916297,2994.8712116757406,3029.5393066437023,3062.649957416717,3165.842129848068,4499.643616850213
CT,3157.5582484718707,4057.860462814313,3179.379056557183,3112.156755916297,0.0,1402.625112841151,1475.2705589546222,3321.727491641487,3628.1772789243755,4236.710400494594
T1,3334.8482356460054,4015.4794597035752,3075.0706904978406,2994.8712116757406,1402.625112841151,0.0,818.8325482613789,3679.5188443739708,3507.1998500808486,4162.373695626773
T2,3377.7073182185063,4082.7060012118145,3098.19899895555,3029.5393066437023,1475.2705589546222,818.8325482613789,0.0,3721.159642829857,3593.6755648688427,4192.017195937547
SAR-SEN12,2054.1561203810516,3495.789176399052,3351.098531117954,3062.649957416717,3321.727491641487,3679.5188443739708,3721.159642829857,0.0,2648.465071428403,4216.527915473951
OPT-SEN12,2898.8182289694896,3023.7934044488175,3382.6792892274334,3165.842129848068,3628.1772789243755,3507.1998500808486,3593.6755648688427,2648.465071428403,0.0,4019.673774527191
ImageNet-1k,4110.387176779477,4115.548377901824,4550.949413765143,4499.643616850213,4236.710400494594,4162.373695626773,4192.017195937547,4216.527915473951,4019.673774527191,0.0
