,SAR-QXSLAB,OPT-QXSLAB,HE,IHC,CT,T1,T2,SAR-SEN12,OPT-SEN12,ImageNet-1k
SAR-QXSLAB,0.0,28.668573504693526,22.627577241575484,24.2536852591573,22.583333554822627,18.383026130875425,18.88370809397272,39.677021072133165,27.355893004433774,12.648962359697784
OPT-QXSLAB,28.668573504693526,0.0,21.723740974551713,23.032246254276068,19.204617198237138,16.56185010867645,18.746565595334932,32.800792037559404,57.226705496187954,17.218501672369648
HE,22.627577241575484,21.723740974551713,0.0,14.480942370132873,20.16414110690302,17.90756668235485,20.6148262012242,19.686741691160424,29.209454671776676,10.219122228147562
IHC,24.2536852591573,23.032246254276068,14.480942370132873,0.0,19.480229111193225,18.506611300217685,24.82582436064695,21.57578763322864,34.74603973047798,12.441766202425104
CT,22.583333554822627,19.204617198237138,20.16414110690302,19.480229111193225,0.0,18.5501824000888,20.13818891916053,23.678171393550777,18.48736875611856,14.221789752039935
T1,18.383026130875425,16.56185010867645,17.90756668235485,18.506611300217685,18.5501824000888,0.0,17.52679110356498,24.557102148423525,17.29138339657287,15.572225023969793
T2,18.88370809397272,18.746565595334932,20.6148262012242,24.82582436064695,20.13818891916053,17.52679110356498,0.0,22.244036969092065,19.19762096526011,15.514549351596603
SAR-SEN12,39.677021072133165,32.800792037559404,19.686741691160424,21.57578763322864,23.678171393550777,24.557102148423525,22.244036969092065,0.0,38.718936027919206,15.044807986558212
OPT-SEN12,27.355893004433774,57.226705496187954,29.209454671776676,34.74603973047798,18.48736875611856,17.29138339657287,19.19762096526011,38.718936027919206,0.0,17.824987387152362
ImageNet-1k,12.648962359697784,17.218501672369648,10.219122228147562,12.441766202425104,14.221789752039935,15.572225023969793,15.514549351596603,15.044807986558212,17.824987387152362,0.0
