,SAR-QXSLAB,OPT-QXSLAB,HE,IHC,CT,T1,T2,SAR-SEN12,OPT-SEN12,ImageNet-1k
SAR-QXSLAB,0.0,14.029501348722851,17.753636593062755,14.366912326312,17.998343705510667,17.888688725209406,18.523169183424294,9.780331047404715,11.205635566729864,16.333168629265895
OPT-QXSLAB,14.029501348722851,0.0,16.27362834577337,14.04474628741475,16.647932519055654,17.12523904232789,18.10932261623284,15.213176011481163,9.668001142566004,9.947241462706568
HE,17.753636593062755,16.27362834577337,0.0,14.177828787869334,19.176207193969713,19.032210969088418,19.85420594121298,19.468171624931376,14.29256043922203,15.130889354543081
IHC,14.366912326312,14.04474628741475,14.177828787869334,0.0,19.62488475985796,19.490524094104074,20.3622355562977,15.3590712322062,11.004641640280592,15.120904036751204
CT,17.998343705510667,16.647932519055654,19.176207193969713,19.62488475985796,0.0,8.459833642915816,8.5253284412676,20.217594429086358,16.790303571503287,13.569410592824292
T1,17.888688725209406,17.12523904232789,19.032210969088418,19.490524094104074,8.459833642915816,0.0,4.305744713195956,20.091875416546305,16.457060774579126,13.998456654261174
T2,18.523169183424294,18.10932261623284,19.85420594121298,20.3622355562977,8.5253284412676,4.305744713195956,0.0,21.081317001442404,17.53741105734849,14.818724394867866
SAR-SEN12,9.780331047404715,15.213176011481163,19.468171624931376,15.3590712322062,20.217594429086358,20.091875416546305,21.081317001442404,0.0,10.761828558719351,17.842359610402003
OPT-SEN12,11.205635566729864,9.668001142566004,14.29256043922203,11.004641640280592,16.790303571503287,16.457060774579126,17.53741105734849,10.761828558719351,0.0,11.98512364060618
ImageNet-1k,16.333168629265895,9.947241462706568,15.130889354543081,15.120904036751204,13.569410592824292,13.998456654261174,14.818724394867866,17.842359610402003,11.98512364060618,0.0
