,SAR-QXSLAB,OPT-QXSLAB,HE,IHC,CT,T1,T2,SAR-SEN12,OPT-SEN12,ImageNet-1k
SAR-QXSLAB,0.0,0.00543755376763965,0.006079608147579411,0.0071498319460361285,0.0033628216632051113,0.00408818226479721,0.005296898738931732,0.01011138992108966,0.005439684626068931,0.0033119024311402223
OPT-QXSLAB,0.00543755376763965,0.0,0.0048925493693967375,0.008037711174770337,0.004480379910162311,0.004784174845641193,0.005134574524465613,0.006784007581263847,0.00996739553174688,0.004703568426239547
HE,0.006079608147579411,0.0048925493693967375,0.0,0.011001637770981586,0.004221482645590906,0.0048549605889388,0.004343523729421032,0.007271223430601847,0.006442512631703172,0.003384385999632535
IHC,0.0071498319460361285,0.008037711174770337,0.011001637770981586,0.0,0.008571441343677681,0.008190223529497513,0.007924643956685424,0.012309721606991854,0.008152181111879538,0.00649915273821898
CT,0.0033628216632051113,0.004480379910162311,0.004221482645590906,0.008571441343677681,0.0,0.004858259965495431,0.00490362154347371,0.005202259386128237,0.00580257456701371,0.004361844532470621
T1,0.00408818226479721,0.004784174845641193,0.0048549605889388,0.008190223529497513,0.004858259965495431,0.0,0.0069917181324408075,0.005479657474619773,0.005296666735873894,0.004450734102693471
T2,0.005296898738931732,0.005134574524465613,0.004343523729421032,0.007924643956685424,0.00490362154347371,0.0069917181324408075,0.0,0.004508393995296168,0.006208384409799046,0.003990616028640117
SAR-SEN12,0.01011138992108966,0.006784007581263847,0.007271223430601847,0.012309721606991854,0.005202259386128237,0.005479657474619773,0.004508393995296168,0.0,0.007755527369006153,0.003766940428040667
OPT-SEN12,0.005439684626068931,0.00996739553174688,0.006442512631703172,0.008152181111879538,0.00580257456701371,0.005296666735873894,0.006208384409799046,0.007755527369006153,0.0,0.0061823311020810165
ImageNet-1k,0.0033119024311402223,0.004703568426239547,0.003384385999632535,0.00649915273821898,0.004361844532470621,0.004450734102693471,0.003990616028640117,0.003766940428040667,0.0061823311020810165,0.0
