,SAR-QXSLAB,OPT-QXSLAB,HE,IHC,CT,T1,T2,SAR-SEN12,OPT-SEN12,ImageNet-1k
SAR-QXSLAB,0.0,0.005192911633267118,0.002307640589062542,0.0028336059341877045,0.0025528297533554626,0.002249754591986542,0.0030119540672062716,0.005695627909318061,0.004700397725206626,0.003538985154778771
OPT-QXSLAB,0.005192911633267118,0.0,0.0030377431940553645,0.003959872906172602,0.003216075821508851,0.002853886812838764,0.0031880749083712805,0.004899271166680664,0.007094240024422141,0.003836487506577837
HE,0.002307640589062542,0.0030377431940553645,0.0,0.003891661775902015,0.00251165657097521,0.002759772794799412,0.0030410068865920035,0.0031800998020073586,0.005430385522441615,0.0029684165657649043
IHC,0.0028336059341877045,0.003959872906172602,0.003891661775902015,0.0,0.004570883451988505,0.004761282037219734,0.004710151461041478,0.003513105303629789,0.005693152877725851,0.004914174343028323
CT,0.0025528297533554626,0.003216075821508851,0.00251165657097521,0.004570883451988505,0.0,0.0026829391084864287,0.0019842296574234352,0.0038127783449686346,0.0035321761790481597,0.002664682449658348
T1,0.002249754591986542,0.002853886812838764,0.002759772794799412,0.004761282037219734,0.0026829391084864287,0.0,0.0024340140346273205,0.003621200178933386,0.00336279001590149,0.0030107001968779287
T2,0.0030119540672062716,0.0031880749083712805,0.0030410068865920035,0.004710151461041478,0.0019842296574234352,0.0024340140346273205,0.0,0.003429692708979996,0.0036014330482486315,0.003335622584484956
SAR-SEN12,0.005695627909318061,0.004899271166680664,0.0031800998020073586,0.003513105303629789,0.0038127783449686346,0.003621200178933386,0.003429692708979996,0.0,0.005732371624474713,0.0038503450892449814
OPT-SEN12,0.004700397725206626,0.007094240024422141,0.005430385522441615,0.005693152877725851,0.0035321761790481597,0.00336279001590149,0.0036014330482486315,0.005732371624474713,0.0,0.005563164077452517
ImageNet-1k,0.003538985154778771,0.003836487506577837,0.0029684165657649043,0.004914174343028323,0.002664682449658348,0.0030107001968779287,0.003335622584484956,0.0038503450892449814,0.005563164077452517,0.0
