,SAR-QXSLAB,OPT-QXSLAB,HE,IHC,CT,T1,T2,SAR-SEN12,OPT-SEN12,ImageNet-1k
SAR-QXSLAB,0.0,7.337754429135696,4.723723488769126,7.2159287352371155,6.29324236954825,6.445023701722848,7.547995391449995,4.897839173384485,6.33840508809773,7.983913813102161
OPT-QXSLAB,7.337754429135696,0.0,5.68120488132822,6.833216857881285,7.052128965606569,6.390722427461571,9.015268563530633,8.63498785215345,8.548792579403004,8.465611389202772
HE,4.723723488769126,5.68120488132822,0.0,4.665225657104881,6.337524586415295,6.186077065030373,7.148489204516513,4.304873004800798,4.5313099188837365,7.239669576773098
IHC,7.2159287352371155,6.833216857881285,4.665225657104881,0.0,6.66092773491301,6.9667223565720535,7.599984508529581,8.436109932926417,6.528982866375697,7.43893293820032
CT,6.29324236954825,7.052128965606569,6.337524586415295,6.66092773491301,0.0,5.0074511421151,4.005369398385931,7.505311441156337,6.1170873354740065,6.300384356312646
T1,6.445023701722848,6.390722427461571,6.186077065030373,6.9667223565720535,5.0074511421151,0.0,4.316390707721938,7.068691997003103,6.521501818213462,7.329209809758208
T2,7.547995391449995,9.015268563530633,7.148489204516513,7.599984508529581,4.005369398385931,4.316390707721938,0.0,8.271292539656347,7.047299862265241,8.305112989184682
SAR-SEN12,4.897839173384485,8.63498785215345,4.304873004800798,8.436109932926417,7.505311441156337,7.068691997003103,8.271292539656347,0.0,7.306814035040605,8.513368567041162
OPT-SEN12,6.33840508809773,8.548792579403004,4.5313099188837365,6.528982866375697,6.1170873354740065,6.521501818213462,7.047299862265241,7.306814035040605,0.0,8.04025318317956
ImageNet-1k,7.983913813102161,8.465611389202772,7.239669576773098,7.43893293820032,6.300384356312646,7.329209809758208,8.305112989184682,8.513368567041162,8.04025318317956,0.0
