,SAR-QXSLAB,OPT-QXSLAB,HE,IHC,CT,T1,T2,SAR-SEN12,OPT-SEN12,ImageNet-1k
SAR-QXSLAB,0.0,0.1441879407152542,0.1029819080039859,0.10368093677394535,0.099213676825513,0.09300877518845219,0.11135988019487289,0.22296856800503217,0.10953595176879431,0.10364208391166874
OPT-QXSLAB,0.1441879407152542,0.0,0.14737386679940803,0.13997033652967542,0.13937082641136808,0.13089586221165483,0.13598053951907402,0.16900307399338796,0.2087137726659002,0.16377252147396804
HE,0.1029819080039859,0.14737386679940803,0.0,0.116207895311218,0.0960907835500228,0.08820690262080619,0.09052744851468036,0.1321825364318859,0.10054750796882383,0.11321338051977704
IHC,0.10368093677394535,0.13997033652967542,0.116207895311218,0.0,0.10816612620797435,0.1087518100940593,0.09379473809258435,0.14548185833342395,0.09700475842318634,0.09872325053809228
CT,0.099213676825513,0.13937082641136808,0.0960907835500228,0.10816612620797435,0.0,0.11870793204776536,0.13009577758700025,0.14350752831274277,0.08478142496368883,0.07154722587997232
T1,0.09300877518845219,0.13089586221165483,0.08820690262080619,0.1087518100940593,0.11870793204776536,0.0,0.11190591049036715,0.13540615108229026,0.08813917412557783,0.07289895933880916
T2,0.11135988019487289,0.13598053951907402,0.09052744851468036,0.09379473809258435,0.13009577758700025,0.11190591049036715,0.0,0.12897377568546523,0.09179817510894704,0.07959037739543255
SAR-SEN12,0.22296856800503217,0.16900307399338796,0.1321825364318859,0.14548185833342395,0.14350752831274277,0.13540615108229026,0.12897377568546523,0.0,0.18316431143442616,0.14094701984033461
OPT-SEN12,0.10953595176879431,0.2087137726659002,0.10054750796882383,0.09700475842318634,0.08478142496368883,0.08813917412557783,0.09179817510894704,0.18316431143442616,0.0,0.07965816878156078
ImageNet-1k,0.10364208391166874,0.16377252147396804,0.11321338051977704,0.09872325053809228,0.07154722587997232,0.07289895933880916,0.07959037739543255,0.14094701984033461,0.07965816878156078,0.0
