,SAR-QXSLAB,OPT-QXSLAB,HE,IHC,CT,T1,T2,SAR-SEN12,OPT-SEN12,ImageNet-1k
SAR-QXSLAB,0.0,0.5805464330494295,0.7091155409529167,0.6315604194647866,0.6629071193152982,0.7006183311735101,0.691648548465386,0.491789973708191,0.5082963034430255,0.6139599309390958
OPT-QXSLAB,0.5805464330494295,0.0,0.5876145864260378,0.5247645127697889,0.5378590795300068,0.5660183597736935,0.5569144560501703,0.6495287010439627,0.3450964147258641,0.38392770303516793
HE,0.7091155409529167,0.5876145864260378,0.0,0.5570319854914282,0.6722760365303185,0.6949012541330487,0.6691252860587271,0.8009349700402022,0.5095216732554197,0.5493087555749478
IHC,0.6315604194647866,0.5247645127697889,0.5570319854914282,0.0,0.6203007484870474,0.6331661632681367,0.6151372758034748,0.6801159619766918,0.387169756723886,0.5098177010893561
CT,0.6629071193152982,0.5378590795300068,0.6722760365303185,0.6203007484870474,0.0,0.3187406379962946,0.32841859125227274,0.7417328780708978,0.5029080446614538,0.5181147908091857
T1,0.7006183311735101,0.5660183597736935,0.6949012541330487,0.6331661632681367,0.3187406379962946,0.0,0.16162232432027435,0.7786633723675483,0.5182065055585908,0.5378612080389725
T2,0.691648548465386,0.5569144560501703,0.6691252860587271,0.6151372758034748,0.32841859125227274,0.16162232432027435,0.0,0.7692784721071446,0.5051182029543777,0.5206991926650228
SAR-SEN12,0.491789973708191,0.6495287010439627,0.8009349700402022,0.6801159619766918,0.7417328780708978,0.7786633723675483,0.7692784721071446,0.0,0.5503118192104162,0.6739030460823823
OPT-SEN12,0.5082963034430255,0.3450964147258641,0.5095216732554197,0.387169756723886,0.5029080446614538,0.5182065055585908,0.5051182029543777,0.5503118192104162,0.0,0.3517642446289604
ImageNet-1k,0.6139599309390958,0.38392770303516793,0.5493087555749478,0.5098177010893561,0.5181147908091857,0.5378612080389725,0.5206991926650228,0.6739030460823823,0.3517642446289604,0.0
