,SAR-QXSLAB,OPT-QXSLAB,HE,IHC,CT,T1,T2,SAR-SEN12,OPT-SEN12,ImageNet-1k
SAR-QXSLAB,0.0,20.293006647260384,18.89506699109192,19.906351742269543,19.91767102656401,20.23159921955595,20.223487452534684,16.717742135332333,19.638349950905436,18.96325049274868
OPT-QXSLAB,20.293006647260384,0.0,18.42359774738673,19.53563245847526,19.25665654841571,19.399324350423477,19.374509063245615,20.97048539691164,18.75510236087832,17.1067191361574
HE,18.89506699109192,18.42359774738673,0.0,16.54598746742798,17.892555428602744,17.793904414223245,17.561835381226377,19.81639885186712,17.75843649638949,15.719342813532887
IHC,19.906351742269543,19.53563245847526,16.54598746742798,0.0,19.37115356753567,19.214364403347414,19.056636353760688,20.142633879833852,18.151380430264407,17.531300491150144
CT,19.91767102656401,19.25665654841571,17.892555428602744,19.37115356753567,0.0,14.739887921174464,14.955730580362967,20.767122694744558,19.281804620852398,17.14676133857366
T1,20.23159921955595,19.399324350423477,17.793904414223245,19.214364403347414,14.739887921174464,0.0,13.678829459856672,21.08798823182508,19.22241134519586,17.069411051961374
T2,20.223487452534684,19.374509063245615,17.561835381226377,19.056636353760688,14.955730580362967,13.678829459856672,0.0,21.07806487140813,19.127488354814474,16.970830754286915
SAR-SEN12,16.717742135332333,20.97048539691164,19.81639885186712,20.142633879833852,20.767122694744558,21.08798823182508,21.07806487140813,0.0,19.715166494000346,19.303000178095452
OPT-SEN12,19.638349950905436,18.75510236087832,17.75843649638949,18.151380430264407,19.281804620852398,19.22241134519586,19.127488354814474,19.715166494000346,0.0,17.254553728601916
ImageNet-1k,18.96325049274868,17.1067191361574,15.719342813532887,17.531300491150144,17.14676133857366,17.069411051961374,16.970830754286915,19.303000178095452,17.254553728601916,0.0
