,SAR-QXSLAB,OPT-QXSLAB,HE,IHC,CT,T1,T2,SAR-SEN12,OPT-SEN12,ImageNet-1k
SAR-QXSLAB,0.0,0.10514058083675593,0.08270608403124355,0.06767384662214071,0.06815596291498847,0.06699258274060786,0.07966522987300559,0.08476886961758477,0.09263773191400838,0.08133699040799527
OPT-QXSLAB,0.10514058083675593,0.0,0.11810302612919686,0.08738996317330083,0.10295930172445045,0.10381196572321055,0.10038942211040894,0.10887394722869079,0.09578751295837441,0.11666981796075142
HE,0.08270608403124355,0.11810302612919686,0.0,0.08221057126652512,0.09172260237357373,0.07862828643498705,0.08407633096536007,0.09219276109567986,0.08508574909410743,0.12228879635922757
IHC,0.06767384662214071,0.08738996317330083,0.08221057126652512,0.0,0.054670257683875255,0.06764371316207084,0.0593503907904823,0.09039244863315642,0.09048432837361899,0.09375342499858814
CT,0.06815596291498847,0.10295930172445045,0.09172260237357373,0.054670257683875255,0.0,0.0749705854707342,0.08993907636457804,0.0835434680731276,0.0781902475378167,0.09446018368426384
T1,0.06699258274060786,0.10381196572321055,0.07862828643498705,0.06764371316207084,0.0749705854707342,0.0,0.06960195494400616,0.07562215985831279,0.06959626796137522,0.07822380566342624
T2,0.07966522987300559,0.10038942211040894,0.08407633096536007,0.0593503907904823,0.08993907636457804,0.06960195494400616,0.0,0.07615521363001823,0.08654785100660428,0.0896622905064843
SAR-SEN12,0.08476886961758477,0.10887394722869079,0.09219276109567986,0.09039244863315642,0.0835434680731276,0.07562215985831279,0.07615521363001823,0.0,0.11021519888764754,0.0969313841731951
OPT-SEN12,0.09263773191400838,0.09578751295837441,0.08508574909410743,0.09048432837361899,0.0781902475378167,0.06959626796137522,0.08654785100660428,0.11021519888764754,0.0,0.08893387165343755
ImageNet-1k,0.08133699040799527,0.11666981796075142,0.12228879635922757,0.09375342499858814,0.09446018368426384,0.07822380566342624,0.0896622905064843,0.0969313841731951,0.08893387165343755,0.0
