,SAR-QXSLAB,OPT-QXSLAB,HE,IHC,CT,T1,T2,SAR-SEN12,OPT-SEN12,ImageNet-1k
SAR-QXSLAB,0.0,0.771856898624613,0.7880952513761313,0.7514016617374116,0.7754259663598125,0.8218924904738811,0.8274236235787746,0.39799440584308604,0.6998258305820246,0.9141873599324123
OPT-QXSLAB,0.771856898624613,0.0,0.8777477792790032,0.8238142855689554,0.8201900054214377,0.8573064366896449,0.8604020057197319,0.8275919567441734,0.6977557902156473,0.8258034868307722
HE,0.7880952513761313,0.8777477792790032,0.0,0.6349332497889472,0.831646877586506,0.8398100599645473,0.8201631932165583,0.8572904467943957,0.7900871603271361,0.9191133094720361
IHC,0.7514016617374116,0.8238142855689554,0.6349332497889472,0.0,0.8307767752669986,0.829611046687203,0.8168812705754166,0.7568574967391164,0.6481789523393005,0.9005868490135053
CT,0.7754259663598125,0.8201900054214377,0.831646877586506,0.8307767752669986,0.0,0.3872606503072775,0.41878306311216873,0.8367096612735777,0.8235098335679696,0.8686933223445792
T1,0.8218924904738811,0.8573064366896449,0.8398100599645473,0.829611046687203,0.3872606503072775,0.0,0.2598991713118806,0.8832052015957802,0.8364184049123219,0.8859920839776048
T2,0.8274236235787746,0.8604020057197319,0.8201631932165583,0.8168812705754166,0.41878306311216873,0.2598991713118806,0.0,0.8897887575724367,0.83379409959664,0.8815692023164071
SAR-SEN12,0.39799440584308604,0.8275919567441734,0.8572904467943957,0.7568574967391164,0.8367096612735777,0.8832052015957802,0.8897887575724367,0.0,0.6885104581472052,0.9290329802681018
OPT-SEN12,0.6998258305820246,0.6977557902156473,0.7900871603271361,0.6481789523393005,0.8235098335679696,0.8364184049123219,0.83379409959664,0.6885104581472052,0.0,0.8627047751170522
ImageNet-1k,0.9141873599324123,0.8258034868307722,0.9191133094720361,0.9005868490135053,0.8686933223445792,0.8859920839776048,0.8815692023164071,0.9290329802681018,0.8627047751170522,0.0
