,SAR-QXSLAB,OPT-QXSLAB,HE,IHC,CT,T1,T2,SAR-SEN12,OPT-SEN12,ImageNet-1k
SAR-QXSLAB,0.0,381.5460519251837,342.81510887653036,366.85391406649074,376.53348996938416,396.43903354275744,396.3509677653726,214.73882993012842,339.2825457923359,347.87019774262154
OPT-QXSLAB,381.5460519251837,0.0,330.0918806032093,360.3030470904477,353.0704240936806,364.6447260682233,362.7836919979358,421.65885512635367,297.564495355685,269.5674980899795
HE,342.81510887653036,330.0918806032093,0.0,240.247576312832,307.8437027417106,304.3028590947343,293.31791117719416,383.19493082909037,291.75556943497355,243.18302060599623
IHC,366.85391406649074,360.3030470904477,240.247576312832,0.0,358.18488173538185,352.62993881713584,344.31189945521163,380.2573025514559,279.8442030170127,294.73031225243585
CT,376.53348996938416,353.0704240936806,307.8437027417106,358.18488173538185,0.0,165.39768504218574,177.33869982586828,417.1960671864322,350.20479468266933,279.35979409515176
T1,396.43903354275744,364.6447260682233,304.3028590947343,352.62993881713584,165.39768504218574,0.0,107.81822684338663,436.5757718986899,350.78669387218287,279.05858284032144
T2,396.3509677653726,362.7836919979358,293.31791117719416,344.31189945521163,177.33869982586828,107.81822684338663,0.0,437.02631033907977,347.7274152335668,275.36592517993313
SAR-SEN12,214.73882993012842,421.65885512635367,383.19493082909037,380.2573025514559,417.1960671864322,436.5757718986899,437.02631033907977,0.0,344.2222374320806,364.7703654827981
OPT-SEN12,339.2825457923359,297.564495355685,291.75556943497355,279.8442030170127,350.20479468266933,350.78669387218287,347.7274152335668,344.2222374320806,0.0,275.9553215824901
ImageNet-1k,347.87019774262154,269.5674980899795,243.18302060599623,294.73031225243585,279.35979409515176,279.05858284032144,275.36592517993313,364.7703654827981,275.9553215824901,0.0
