,SAR-QXSLAB,OPT-QXSLAB,HE,IHC,CT,T1,T2,SAR-SEN12,OPT-SEN12,ImageNet-1k
SAR-QXSLAB,0.0,5.320330187744616,10.531145159885696,5.370092375691379,6.66711794476911,6.208668059592202,6.8688132239674005,3.22348572565881,4.196487643639654,7.064365444997693
OPT-QXSLAB,5.320330187744616,0.0,10.3571043347032,5.39738575420573,6.769784617081313,6.164146316030476,6.858347610155323,5.479971646717839,4.0509926119262,5.278846826282378
HE,10.531145159885696,10.3571043347032,0.0,9.0384303081591,11.106185891399946,10.539545492871378,10.609126337849823,10.593520040642534,9.717226344413683,10.398662958466184
IHC,5.370092375691379,5.39738575420573,9.0384303081591,0.0,7.167342101028343,6.290088634958005,6.916272881980858,4.7928459570043165,3.778835144871315,6.684164371877059
CT,6.66711794476911,6.769784617081313,11.106185891399946,7.167342101028343,0.0,3.7599684461868033,4.018850491264905,6.925766356498681,6.524485245692324,6.108714581205227
T1,6.208668059592202,6.164146316030476,10.539545492871378,6.290088634958005,3.7599684461868033,0.0,1.7299497710844225,6.3178901896403055,5.525642897875207,5.760529903356727
T2,6.8688132239674005,6.858347610155323,10.609126337849823,6.916272881980858,4.018850491264905,1.7299497710844225,0.0,7.1783661973013215,6.353722196387955,6.005742664076906
SAR-SEN12,3.22348572565881,5.479971646717839,10.593520040642534,4.7928459570043165,6.925766356498681,6.3178901896403055,7.1783661973013215,0.0,3.6199717444357096,7.272965466452835
OPT-SEN12,4.196487643639654,4.0509926119262,9.717226344413683,3.778835144871315,6.524485245692324,5.525642897875207,6.353722196387955,3.6199717444357096,0.0,6.029253772503918
ImageNet-1k,7.064365444997693,5.278846826282378,10.398662958466184,6.684164371877059,6.108714581205227,5.760529903356727,6.005742664076906,7.272965466452835,6.029253772503918,0.0
