,SAR-QXSLAB,OPT-QXSLAB,HE,IHC,CT,T1,T2,SAR-SEN12,OPT-SEN12,ImageNet-1k
SAR-QXSLAB,0.0,0.11997256892451215,0.07868775157466734,0.051873315572239495,0.07400320294531425,0.04973190045654736,0.08447666359497978,0.07669235248834981,0.06216246996356034,0.09972761373393521
OPT-QXSLAB,0.11997256892451215,0.0,0.08615150335623031,0.08525226145634864,0.08963673285028431,0.09243996375196319,0.10267999960916535,0.12537011961865047,0.16583222782109758,0.12468791281949407
HE,0.07868775157466734,0.08615150335623031,0.0,0.10453970997783614,0.07848384531739014,0.0749742856626146,0.07586286107910707,0.08532055626237584,0.08577485405632372,0.09023037435637354
IHC,0.051873315572239495,0.08525226145634864,0.10453970997783614,0.0,0.08000339404155614,0.0487615994737097,0.06745370248514398,0.05760079061923881,0.048206740606307065,0.09414543736400972
CT,0.07400320294531425,0.08963673285028431,0.07848384531739014,0.08000339404155614,0.0,0.059573728857545284,0.06554030415530064,0.07964174741453481,0.08281269019855486,0.0922266371151997
T1,0.04973190045654736,0.09243996375196319,0.0749742856626146,0.0487615994737097,0.059573728857545284,0.0,0.08578993796391843,0.0508023452185311,0.06272775285327242,0.08447470107581251
T2,0.08447666359497978,0.10267999960916535,0.07586286107910707,0.06745370248514398,0.06554030415530064,0.08578993796391843,0.0,0.07447528827281447,0.08028712514990895,0.09552294335449056
SAR-SEN12,0.07669235248834981,0.12537011961865047,0.08532055626237584,0.05760079061923881,0.07964174741453481,0.0508023452185311,0.07447528827281447,0.0,0.07316196444685304,0.10641711007530351
OPT-SEN12,0.06216246996356034,0.16583222782109758,0.08577485405632372,0.048206740606307065,0.08281269019855486,0.06272775285327242,0.08028712514990895,0.07316196444685304,0.0,0.11950172716098129
ImageNet-1k,0.09972761373393521,0.12468791281949407,0.09023037435637354,0.09414543736400972,0.0922266371151997,0.08447470107581251,0.09552294335449056,0.10641711007530351,0.11950172716098129,0.0
