,SAR-QXSLAB,OPT-QXSLAB,HE,IHC,CT,T1,T2,SAR-SEN12,OPT-SEN12,ImageNet-1k
SAR-QXSLAB,0.0,0.5510240226124009,0.859519324588216,0.6709162581138253,0.6589280195808012,0.6762771309538835,0.6763981585267963,0.5636452825265732,0.5130223809285948,0.5066186151829798
OPT-QXSLAB,0.5510240226124009,0.0,0.716533270074758,0.5159946321826222,0.5373764890152308,0.5337988401116082,0.5464137498333177,0.6156857163058639,0.34982779410513287,0.35293127340883823
HE,0.859519324588216,0.716533270074758,0.0,0.7366445257688671,0.7963654925944347,0.8059894484964794,0.7754896607768602,0.8885636413901697,0.7425576610650281,0.5549385654239033
IHC,0.6709162581138253,0.5159946321826222,0.7366445257688671,0.0,0.6494660663311349,0.6377023163205879,0.6396849759280017,0.6903005758408481,0.4264396705746218,0.4699253616937723
CT,0.6589280195808012,0.5373764890152308,0.7963654925944347,0.6494660663311349,0.0,0.3713410957590306,0.36828811455622756,0.7105594990574824,0.5715514285794078,0.41700101040023746
T1,0.6762771309538835,0.5337988401116082,0.8059894484964794,0.6377023163205879,0.3713410957590306,0.0,0.18485616078149256,0.7256708278978518,0.5384077451660318,0.427233041519784
T2,0.6763981585267963,0.5464137498333177,0.7754896607768602,0.6396849759280017,0.36828811455622756,0.18485616078149256,0.0,0.7305767653976156,0.5640358862602314,0.4151793587723529
SAR-SEN12,0.5636452825265732,0.6156857163058639,0.8885636413901697,0.6903005758408481,0.7105594990574824,0.7256708278978518,0.7305767653976156,0.0,0.5271938290511157,0.5309657140187913
OPT-SEN12,0.5130223809285948,0.34982779410513287,0.7425576610650281,0.4264396705746218,0.5715514285794078,0.5384077451660318,0.5640358862602314,0.5271938290511157,0.0,0.4226689564102436
ImageNet-1k,0.5066186151829798,0.35293127340883823,0.5549385654239033,0.4699253616937723,0.41700101040023746,0.427233041519784,0.4151793587723529,0.5309657140187913,0.4226689564102436,0.0
