,SAR-QXSLAB,OPT-QXSLAB,HE,IHC,CT,T1,T2,SAR-SEN12,OPT-SEN12,ImageNet-1k
SAR-QXSLAB,0.0,0.007221256869543934,0.007444337479185703,0.008278188653510338,0.004986319693507856,0.005177318312150088,0.006229859063043117,0.011598057742475106,0.007019665182567263,0.003434895500336164
OPT-QXSLAB,0.007221256869543934,0.0,0.007108658128778121,0.006874244119764936,0.005278527479984728,0.004885144095323582,0.004870489383567446,0.006288111952631977,0.012096607728838745,0.005155813481494978
HE,0.007444337479185703,0.007108658128778121,0.0,0.009949268058309386,0.006274781019991486,0.006653303611501424,0.006549949490015948,0.00773271387824135,0.008389085162576268,0.004343215951950903
IHC,0.008278188653510338,0.006874244119764936,0.009949268058309386,0.0,0.007852940690657829,0.007652299008787741,0.007282759400315123,0.007339686884252622,0.007857331572167127,0.005459428198402188
CT,0.004986319693507856,0.005278527479984728,0.006274781019991486,0.007852940690657829,0.0,0.00531702613472175,0.005508007967007624,0.004515784486238363,0.006517616427222278,0.0035165342068329826
T1,0.005177318312150088,0.004885144095323582,0.006653303611501424,0.007652299008787741,0.00531702613472175,0.0,0.00929563981762385,0.005045439963529144,0.005957052381168359,0.003499434551428396
T2,0.006229859063043117,0.004870489383567446,0.006549949490015948,0.007282759400315123,0.005508007967007624,0.00929563981762385,0.0,0.004624055204018049,0.006793861006970771,0.0036836189103255416
SAR-SEN12,0.011598057742475106,0.006288111952631977,0.00773271387824135,0.007339686884252622,0.004515784486238363,0.005045439963529144,0.004624055204018049,0.0,0.007289432508832525,0.0038493376027396576
OPT-SEN12,0.007019665182567263,0.012096607728838745,0.008389085162576268,0.007857331572167127,0.006517616427222278,0.005957052381168359,0.006793861006970771,0.007289432508832525,0.0,0.004853857028385501
ImageNet-1k,0.003434895500336164,0.005155813481494978,0.004343215951950903,0.005459428198402188,0.0035165342068329826,0.003499434551428396,0.0036836189103255416,0.0038493376027396576,0.004853857028385501,0.0
