,SAR-QXSLAB,OPT-QXSLAB,HE,IHC,CT,T1,T2,SAR-SEN12,OPT-SEN12,ImageNet-1k
SAR-QXSLAB,0.0,8.7920532539859,12.776497260155738,7.6409541775279886,9.406179935707597,8.611818978266108,9.501843245143169,5.0353874132666245,7.397967387509568,14.520589282451695
OPT-QXSLAB,8.7920532539859,0.0,13.838203030458395,9.40847041451258,10.956717199174832,10.14466818555775,10.961936845826456,8.47062835322067,9.082199397663445,14.912551586618262
HE,12.776497260155738,13.838203030458395,0.0,11.935026406621644,14.108850209292394,13.33162364960723,13.692711082132464,12.570472038762873,12.78391034418403,17.511741201750198
IHC,7.6409541775279886,9.40847041451258,11.935026406621644,0.0,10.216661028010165,9.152387959629065,9.996393828834284,6.7766054058047835,7.728429163203975,14.669917055535784
CT,9.406179935707597,10.956717199174832,14.108850209292394,10.216661028010165,0.0,8.521439269131573,9.093236670892763,9.256577654638171,10.153307084497122,14.973961486752751
T1,8.611818978266108,10.14466818555775,13.33162364960723,9.152387959629065,8.521439269131573,0.0,7.7699978645064816,8.333279958196528,9.076802515576675,14.495702925392154
T2,9.501843245143169,10.961936845826456,13.692711082132464,9.996393828834284,9.093236670892763,7.7699978645064816,0.0,9.397088438491311,9.998037995334945,14.90282392768876
SAR-SEN12,5.0353874132666245,8.47062835322067,12.570472038762873,6.7766054058047835,9.256577654638171,8.333279958196528,9.397088438491311,0.0,6.574014971065115,14.375258132350693
OPT-SEN12,7.397967387509568,9.082199397663445,12.78391034418403,7.728429163203975,10.153307084497122,9.076802515576675,9.998037995334945,6.574014971065115,0.0,14.642478935139506
ImageNet-1k,14.520589282451695,14.912551586618262,17.511741201750198,14.669917055535784,14.973961486752751,14.495702925392154,14.90282392768876,14.375258132350693,14.642478935139506,0.0
