,SAR-QXSLAB,OPT-QXSLAB,HE,IHC,CT,T1,T2,SAR-SEN12,OPT-SEN12,ImageNet-1k
SAR-QXSLAB,0.0,0.1334347648715715,0.07903180481573226,0.08174897725419224,0.07518450222992151,0.05528910645634456,0.07806100014639449,0.059490463475757434,0.07937899497094661,0.19725100715906588
OPT-QXSLAB,0.1334347648715715,0.0,0.11028937895943759,0.12336357193425757,0.10719116787092886,0.11671612265442505,0.12650658583046812,0.14556201808922434,0.1348808474549126,0.20952709717906642
HE,0.07903180481573226,0.11028937895943759,0.0,0.08704002165717908,0.07239440721134588,0.07109743619275581,0.08178548993850583,0.08518271066639704,0.08307151714901785,0.1632526041565983
IHC,0.08174897725419224,0.12336357193425757,0.08704002165717908,0.0,0.06165952100048905,0.06830882173178991,0.07226547983721511,0.09872013462340647,0.10969471373257811,0.18791158052867515
CT,0.07518450222992151,0.10719116787092886,0.07239440721134588,0.06165952100048905,0.0,0.05830952762242092,0.06236977786298471,0.07907676316040846,0.08518186814915674,0.1775397386782826
T1,0.05528910645634456,0.11671612265442505,0.07109743619275581,0.06830882173178991,0.05830952762242092,0.0,0.054747369738210205,0.06117275042263428,0.06891315754943662,0.18429398754348125
T2,0.07806100014639449,0.12650658583046812,0.08178548993850583,0.07226547983721511,0.06236977786298471,0.054747369738210205,0.0,0.0757095618405516,0.07916560312249968,0.16852681165831518
SAR-SEN12,0.059490463475757434,0.14556201808922434,0.08518271066639704,0.09872013462340647,0.07907676316040846,0.06117275042263428,0.0757095618405516,0.0,0.09043020724521715,0.20296550722538637
OPT-SEN12,0.07937899497094661,0.1348808474549126,0.08307151714901785,0.10969471373257811,0.08518186814915674,0.06891315754943662,0.07916560312249968,0.09043020724521715,0.0,0.2034042036130366
ImageNet-1k,0.19725100715906588,0.20952709717906642,0.1632526041565983,0.18791158052867515,0.1775397386782826,0.18429398754348125,0.16852681165831518,0.20296550722538637,0.2034042036130366,0.0
