,SAR-QXSLAB,OPT-QXSLAB,HE,IHC,CT,T1,T2,SAR-SEN12,OPT-SEN12,ImageNet-1k
SAR-QXSLAB,0.0,0.5668354831347174,0.6957317142264674,0.6109493899280867,0.5675859255536847,0.6276245581005958,0.6283950574152043,0.3369782714213951,0.551925147418042,0.6995338016577094
OPT-QXSLAB,0.5668354831347174,0.0,0.7026050801824514,0.6207515829348363,0.6047590378902087,0.6232819710900458,0.6385725597740008,0.6490346234432565,0.5212531445889296,0.5641697153510961
HE,0.6957317142264674,0.7026050801824514,0.0,0.49860312987536903,0.7065998605774915,0.6841552689810142,0.6690466383836098,0.7164992666039051,0.6538666926398059,0.7314772310433066
IHC,0.6109493899280867,0.6207515829348363,0.49860312987536903,0.0,0.6489373884979645,0.6431367832981882,0.6471340742433032,0.5789301565465661,0.5214883657796152,0.6791180643296694
CT,0.5675859255536847,0.6047590378902087,0.7065998605774915,0.6489373884979645,0.0,0.3143917426679214,0.3414001620769569,0.6117160791778118,0.6200326423036707,0.6020890066346983
T1,0.6276245581005958,0.6232819710900458,0.6841552689810142,0.6431367832981882,0.3143917426679214,0.0,0.20037181316985517,0.691381473277979,0.6138202948826167,0.6004099721202047
T2,0.6283950574152043,0.6385725597740008,0.6690466383836098,0.6471340742433032,0.3414001620769569,0.20037181316985517,0.0,0.7091997749926715,0.631390780548484,0.6021606347777906
SAR-SEN12,0.3369782714213951,0.6490346234432565,0.7164992666039051,0.5789301565465661,0.6117160791778118,0.691381473277979,0.7091997749926715,0.0,0.5486342955892609,0.7431679314796257
OPT-SEN12,0.551925147418042,0.5212531445889296,0.6538666926398059,0.5214883657796152,0.6200326423036707,0.6138202948826167,0.631390780548484,0.5486342955892609,0.0,0.6262829935515358
ImageNet-1k,0.6995338016577094,0.5641697153510961,0.7314772310433066,0.6791180643296694,0.6020890066346983,0.6004099721202047,0.6021606347777906,0.7431679314796257,0.6262829935515358,0.0
