,SAR-QXSLAB,OPT-QXSLAB,HE,IHC,CT,T1,T2,SAR-SEN12,OPT-SEN12,ImageNet-1k
SAR-QXSLAB,0.0,0.006374890533788065,0.002969286711212344,0.0034335556457985032,0.0046727641097047455,0.00363324106521732,0.00413049087759677,0.007522996199838077,0.006432744777569078,0.004557158501792976
OPT-QXSLAB,0.006374890533788065,0.0,0.003868192654793733,0.004499002795418049,0.005048400669610521,0.0042671680180914875,0.004271710946272888,0.006570434639574008,0.008053742145104882,0.006126554858796487
HE,0.002969286711212344,0.003868192654793733,0.0,0.0055287844396521854,0.0029252854778912237,0.0030820267888290423,0.0036086180725318994,0.002874535769273337,0.004648941551199349,0.004216532480286407
IHC,0.0034335556457985032,0.004499002795418049,0.0055287844396521854,0.0,0.0048909432218241875,0.004226748743616166,0.004363879050276567,0.0040297696944784816,0.006546195854654617,0.0049382290166463455
CT,0.0046727641097047455,0.005048400669610521,0.0029252854778912237,0.0048909432218241875,0.0,0.003280203170117466,0.003059936829619526,0.004363384158275201,0.004500596736052666,0.0038625576140967795
T1,0.00363324106521732,0.0042671680180914875,0.0030820267888290423,0.004226748743616166,0.003280203170117466,0.0,0.003187554455467135,0.0031943524859300763,0.004255786572138782,0.0038512867025941463
T2,0.00413049087759677,0.004271710946272888,0.0036086180725318994,0.004363879050276567,0.003059936829619526,0.003187554455467135,0.0,0.0029810496423597318,0.00468665791152021,0.004514011114427009
SAR-SEN12,0.007522996199838077,0.006570434639574008,0.002874535769273337,0.0040297696944784816,0.004363384158275201,0.0031943524859300763,0.0029810496423597318,0.0,0.006891498532186586,0.005124004435477268
OPT-SEN12,0.006432744777569078,0.008053742145104882,0.004648941551199349,0.006546195854654617,0.004500596736052666,0.004255786572138782,0.00468665791152021,0.006891498532186586,0.0,0.005986533631629094
ImageNet-1k,0.004557158501792976,0.006126554858796487,0.004216532480286407,0.0049382290166463455,0.0038625576140967795,0.0038512867025941463,0.004514011114427009,0.005124004435477268,0.005986533631629094,0.0
