,SAR-QXSLAB,OPT-QXSLAB,HE,IHC,CT,T1,T2,SAR-SEN12,OPT-SEN12,ImageNet-1k
SAR-QXSLAB,0.0,78.27808949145391,161.8672818045236,57.66483479348622,86.9726355732726,73.78704082868258,89.95194711774808,24.89729107134474,51.52674306312078,217.27957103366862
OPT-QXSLAB,78.27808949145391,0.0,186.46199532109185,86.45062276262921,116.09825679917034,102.41103520227747,118.38405398084387,77.77506942129406,73.43844713087026,203.33716037225466
HE,161.8672818045236,186.46199532109185,0.0,130.62143700258076,193.358921412388,173.6447108822602,179.87831502399317,158.85671328845635,156.3007385262281,295.5332330626829
IHC,57.66483479348622,86.45062276262921,130.62143700258076,0.0,100.24221267199195,81.20093480427475,96.15380913731693,46.88225613309701,54.0137976993391,214.18128406300156
CT,86.9726355732726,116.09825679917034,193.358921412388,100.24221267199195,0.0,57.655324356026604,68.42372873104864,85.70171080549083,98.37003690128384,214.45532870791027
T1,73.78704082868258,102.41103520227747,173.6447108822602,81.20093480427475,57.655324356026604,0.0,37.72279731417023,69.7093905060437,78.3727773315521,204.5887721204175
T2,89.95194711774808,118.38405398084387,179.87831502399317,96.15380913731693,68.42372873104864,37.72279731417023,0.0,89.56952775433825,95.65370476980958,211.97814201130785
SAR-SEN12,24.89729107134474,77.77506942129406,158.85671328845635,46.88225613309701,85.70171080549083,69.7093905060437,89.56952775433825,0.0,42.98782719084993,218.5865497645709
OPT-SEN12,51.52674306312078,73.43844713087026,156.3007385262281,54.0137976993391,98.37003690128384,78.3727773315521,95.65370476980958,42.98782719084993,0.0,203.73626587314982
ImageNet-1k,217.27957103366862,203.33716037225466,295.5332330626829,214.18128406300156,214.45532870791027,204.5887721204175,211.97814201130785,218.5865497645709,203.73626587314982,0.0
