,SAR-QXSLAB,OPT-QXSLAB,HE,IHC,CT,T1,T2,SAR-SEN12,OPT-SEN12,ImageNet-1k
SAR-QXSLAB,0.0,2.5889061728644593,2.0427142732598984,1.3524815282208027,1.4551259175251678,0.9441744537047002,1.5640803206232479,0.6348173319219026,1.0897383757971766,6.845991523104308
OPT-QXSLAB,2.5889061728644593,0.0,2.90406539127854,2.1899048219955195,2.3261042024637417,2.4625415491738436,2.808220472485103,2.7881401130381924,2.647266419620395,6.872260279825945
HE,2.0427142732598984,2.90406539127854,0.0,2.0929702808207264,1.961451586291333,1.855798135458412,2.0351964976575685,2.126651052588101,2.007261129276438,6.206855727669633
IHC,1.3524815282208027,2.1899048219955195,2.0929702808207264,0.0,1.2811649544410895,1.1670386409083429,1.3164444583636674,1.552778511241657,1.4098015082589743,6.340857190481552
CT,1.4551259175251678,2.3261042024637417,1.961451586291333,1.2811649544410895,0.0,0.8913252712392563,0.9510437430455664,1.5763789341159253,1.7003121342656882,6.066649570236194
T1,0.9441744537047002,2.4625415491738436,1.855798135458412,1.1670386409083429,0.8913252712392563,0.0,0.7536341163876561,1.0363323229823171,1.1969065959306564,6.233467826487977
T2,1.5640803206232479,2.808220472485103,2.0351964976575685,1.3164444583636674,0.9510437430455664,0.7536341163876561,0.0,1.524769107221963,1.522727690263875,5.835681393707325
SAR-SEN12,0.6348173319219026,2.7881401130381924,2.126651052588101,1.552778511241657,1.5763789341159253,1.0363323229823171,1.524769107221963,0.0,1.3063177961643455,7.092839765262215
OPT-SEN12,1.0897383757971766,2.647266419620395,2.007261129276438,1.4098015082589743,1.7003121342656882,1.1969065959306564,1.522727690263875,1.3063177961643455,0.0,6.713541968357913
ImageNet-1k,6.845991523104308,6.872260279825945,6.206855727669633,6.340857190481552,6.066649570236194,6.233467826487977,5.835681393707325,7.092839765262215,6.713541968357913,0.0
